"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000000253",1824.05337308871,-0.316675896271547,0.0966400495560884,0.000205270152238946,0.00511439763049979,"Gmpr"
"ENSMUSG00000000711",2223.24226572995,-0.241711259820488,0.0725055542969319,0.000342228896374136,0.00762205433014664,"Rab5b"
"ENSMUSG00000001017",1545.06415470457,-0.284306026658357,0.104864504819123,0.00159078317678886,0.0235058540192245,"Chtop"
"ENSMUSG00000001027",6829.00339437456,-0.374460715321398,0.14001664595752,0.000605130916093315,0.0116162686023508,"Scn4a"
"ENSMUSG00000001211",2241.69334359261,0.378082726064273,0.124783636255609,0.00021084754436826,0.00520983738766335,"Agpat3"
"ENSMUSG00000001666",281.288351173227,0.821353380587173,0.215781124592673,4.15336926222356e-07,2.89282169113871e-05,"Ddt"
"ENSMUSG00000001729",1002.18728038244,0.474669303828771,0.153000497512919,4.47898696446744e-05,0.00150507713281874,"Akt1"
"ENSMUSG00000002043",69.1177957355244,1.7871363445539,0.354285935907353,4.74711156858723e-09,5.16113445428682e-07,"Trappc6a"
"ENSMUSG00000002266",377.316827619477,1.17663535271965,0.834844039064644,0.000480339704240576,0.00981366038410447,"Zim1"
"ENSMUSG00000002489",139.505472327968,-2.11597815516675,0.43653779691705,7.79491565235304e-09,7.80663349941214e-07,"Tiam1"
"ENSMUSG00000004035",47.0438631495915,0.971346871579878,0.636376730404564,0.000554106449721138,0.0108993236573517,"Gstm7"
"ENSMUSG00000004364",4883.29700353636,-0.306679253962892,0.099364801874493,0.0004229085360834,0.00893824482538751,"Cul3"
"ENSMUSG00000004952",354.113419368372,-0.361435150619793,0.183485050694902,0.00347307520587197,0.0417068427739626,"Rasa4"
"ENSMUSG00000005580",569.282283441237,-0.783185360668858,0.25757614527699,8.29137981777069e-06,0.000381527966809911,"Adcy9"
"ENSMUSG00000005628",5375.09021365666,-0.357962721385207,0.124952225792993,0.000445283575103992,0.00930843140698291,"Tmod4"
"ENSMUSG00000005686",829.453538158181,2.02324927980208,0.730511381368894,1.28055262240632e-05,0.000543543153272354,"Ampd3"
"ENSMUSG00000007617",1469.505986449,-0.674606949458383,0.190149719668859,1.30532885251593e-06,7.69290538734675e-05,"Homer1"
"ENSMUSG00000009073",1367.38060754622,-0.300927484652754,0.0906733469625484,0.000211140704675255,0.00520983738766335,"Nf2"
"ENSMUSG00000009630",369.778153390732,-0.345268155260784,0.109070236311865,0.000211015633955374,0.00520983738766335,"Ppp2cb"
"ENSMUSG00000010721",242.730591529656,-0.385642958568318,0.154091133210642,0.000809745072924412,0.0142946126179963,"Lmbr1"
"ENSMUSG00000011958",1144.80212556921,-0.280761110184245,0.0843799320072052,0.000250478684918086,0.00595975914440968,"Bnip2"
"ENSMUSG00000013878",365.350863389547,-0.36594867310197,0.16755247443547,0.00214753910725575,0.0298609271692194,"Rnf170"
"ENSMUSG00000015575",209.796803144014,0.372519046491612,0.185648048376508,0.00283475216429323,0.0363793194417632,"Atp6v0e"
"ENSMUSG00000015733",4903.71428424333,-0.377978128518054,0.127566351416454,0.000257986185145216,0.00607238450841803,"Capza2"
"ENSMUSG00000015755",2056.034671939,-0.836058227385529,0.0957501051521507,7.39392389669335e-21,4.92596068995792e-18,"Tab2"
"ENSMUSG00000015843",484.074819555066,-0.656277538279235,0.183419991245128,1.24935371581361e-06,7.42009573155504e-05,"Rxrg"
"ENSMUSG00000017119",1856.19003524082,0.286103559443259,0.0998878027596475,0.00101835559631836,0.0171287187732011,"Nbr1"
"ENSMUSG00000018363",468.489504472733,-0.375606435047841,0.13802635007346,0.00052631842710494,0.0105165050666218,"Smurf2"
"ENSMUSG00000018377",1464.71951986183,-0.575365773158238,0.117493026872739,5.41757679004693e-09,5.74421611201698e-07,"Vezf1"
"ENSMUSG00000018845",4707.80571105464,-0.310893759369128,0.126904368633921,0.00232948368219924,0.0317568313721876,"Unc45b"
"ENSMUSG00000018909",197.704195896206,-0.482157676907557,0.259574644282701,0.00128238810282643,0.0204050185873411,"Arrb1"
"ENSMUSG00000019933",311.204712565959,-0.43455998889528,0.176141949902713,0.000476870714054478,0.00978191425897827,"Mrln"
"ENSMUSG00000019978",429.466235684805,-0.333823470815138,0.133449490333208,0.00156701669988389,0.0232218538610453,"Epb41l2"
"ENSMUSG00000020029",4269.30927547773,-0.861854789270997,0.131203102475978,1.84582736351531e-13,5.14247503475366e-11,"Nudt4"
"ENSMUSG00000020061",24629.9308029891,0.687726752162908,0.198510256047944,1.76209610321494e-06,9.81839948711366e-05,"Mybpc1"
"ENSMUSG00000020190",9167.59285906494,1.00786698954321,0.211241276777683,1.57352757083608e-08,1.49758776198268e-06,"Mknk2"
"ENSMUSG00000020366",843.570402591615,-0.521841065046414,0.119565373448356,1.5810621396816e-07,1.23605179420108e-05,"Mapk9"
"ENSMUSG00000020473",1546.74658321108,-0.662598936434035,0.17025687344237,3.1057601252196e-07,2.22381132704392e-05,"Aebp1"
"ENSMUSG00000020483",4689.18802970106,-0.428902418580678,0.101792941840407,1.29639565766444e-06,7.66975701250662e-05,"Dynll2"
"ENSMUSG00000020570",2459.76834821424,-0.256736629175573,0.0960602218760634,0.00228531734347488,0.0313780624140373,"Sypl1"
"ENSMUSG00000020738",1267.52231769601,-0.286357446803131,0.0824348139066708,0.000142588863830171,0.00380642710883225,"Sumo2"
"ENSMUSG00000020925",998.060108057025,-0.295524644223574,0.0782488962128031,4.20820316217938e-05,0.00142976268412582,"Ccdc43"
"ENSMUSG00000020954",2495.62717631098,-0.346223445547183,0.0956961646619811,4.38646244270852e-05,0.00147722558262907,"Strn3"
"ENSMUSG00000021054",318.762733548958,-0.283145601597094,0.114934140342701,0.00304970866365129,0.0381457808677816,"Sgpp1"
"ENSMUSG00000021091",419.270268249618,1.47787075387542,0.37019687198487,6.79202399939281e-07,4.42868866990196e-05,"Serpina3n"
"ENSMUSG00000021270",1266.22609909973,-0.365288278875702,0.18185391287795,0.0030795894327012,0.0382713291786541,"Hsp90aa1"
