"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY",0.171974522292994,0.591288342317378,0.276500599254472,-0.303475749866572,-1.10665101370152,138,"Ppm1n;Fzd9;Ppm1a;Smurf2;Trpm4;Nle1;Tnks2;Lgr4;Ddx3x;Usp34;Usp47;Sema5a;Mbd2;Eda;Csnk1g2;Tbl1x;Rnf220;Hsp90b1;Wnt5a;Ubr5;Ski;Rnf146;Ctdnep1;Caprin2;Fgf9;Amer1;Prdm15;Wnk1"
"GOBP_POSITIVE_T_CELL_SELECTION",0.209631728045326,0.619689462146904,0.109684061970549,0.5312990738237,1.28438584399221,42,"Stat5a;Il6ra;Irf4;Ctsl;Cd74;Zap70;Cyld;Ly9;Mtor;Bcl2;Loxl3;Ptprc;Il12rb1;Lgals1"
"GOBP_POSTSYNAPSE_ASSEMBLY",0.285106382978723,0.652749728096677,0.170932335370056,-0.322555254883648,-1.06258558628585,75,"Carmil3;Sema4c;Arhgef9;Ptprs;Zdhhc8;Crkl;Rtn4;Pum2;Wnt5a;Prickle1;Dock4"
"GOBP_POSTSYNAPSE_ORGANIZATION",0.165562913907285,0.590600611620795,0.108820126769161,0.420027746068001,1.20514328840914,212,"Nrcam;Gdnf;Zfp365;Map1b;Musk;Chrnb1;Rps6ka5;Cttn;Kif2c;Slc7a11;Lgmn;Cfl1;Akt1;Myh10;Nrp2;Pirb;App;Ptprd;Apoe;Dbnl;Pak3;Fcgr2b"
"GOBP_POSTSYNAPTIC_DENSITY_ASSEMBLY",0.978056426332288,0.989600010763249,0.0354665010333725,0.224683495826657,0.49703014043183,24,"Ptprd;Ntrk3"
"GOBP_POSTSYNAPTIC_DENSITY_ORGANIZATION",0.798679867986799,0.904394815777551,0.0808589150280032,-0.256217786815112,-0.779489081048997,41,"Syngap1;Dlg1;Ptprs;Cntnap1;Rapsn;Prickle1"
"GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION",0.301136363636364,0.65924919537804,0.0880945010398517,0.478946201883049,1.16082971765925,43,"Gdnf;Musk;Chrnb1;Slc7a11;Apoe;Lamb1"
"GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION",0.0853994490358127,0.512762597902354,0.257206466468838,-0.523146692386885,-1.40775703991935,22,"Ppp3ca;Ppp3r1;Rasgrf2;Atg5;Wnt5a;Eif4e;Braf"
"GOBP_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION",0.36144578313253,0.682970956150464,0.12384217120105,-0.364117205565112,-1.04597210733016,32,"Ppp3r1;Eps15;Ncdn;Rabep1;Rnf220;Numb;Rala;Iqsec1;Ap2m1;Usp32"
"GOBP_POSTSYNAPTIC_SIGNAL_TRANSDUCTION",0.000494107045906568,0.0562622358937167,0.477270815362862,0.777838546278337,1.86438585298985,39,"Chrng;Chrnd;Chrna1;Chrna9;Chrnb1;Ly6e"
"GOBP_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY",0.557575757575758,0.791858342460752,0.096240602328129,-0.318179949906301,-0.913866660260642,31,"Arhgef9;Ptprs;Crkl;Prickle1;Crk;Lats1;Reln;Pten;Nlgn2;Abl1"
"GOBP_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION",0.582089552238806,0.802570439940682,0.106323255932708,-0.287105730438519,-0.892154722130043,50,"Syngap1;Arhgef9;Dlg1;Ptprs;Cntnap1;Crkl;Rapsn;Prickle1;Crk"
"GOBP_POST_ANAL_TAIL_MORPHOGENESIS",0.172413793103448,0.591288342317378,0.173747838999571,-0.501897542136504,-1.24719287296001,16,"Med12;Wnt5a;Prickle1;Axin1;Scrib;Tmed2;Sfrp2;Vangl2;Palb2"
"GOBP_POST_EMBRYONIC_DEVELOPMENT",0.0405655027633592,0.392106149871033,0.321775918075361,-0.411566130276976,-1.36820283563333,85,"Ercc1;Ercc2;Foxp2;Dnmt3a;Itpr1;Atrx;Bpnt2;Atn1;Nr4a2;Large1;Sema3c;Ago2;Ash1l;Kmt2a;Ccdc47;Acvr2b;Kat8"
