"cluster_safe","gene_count"
"ADIPO",1
"ATL",3
"EC-1(gEC)",1
"EC-2",1
"EC-3",2
"EC-4",1
"EC-6",2
"FIB",4
"IC-A",1
"IMM",1
"PC",3
"PC_CNT",1
"PECs?",2
"PODO",1
"PT-1",2
"PT-2",3
"TAL-2",2
"Undef",2
"vSMC_MC",3
