"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"11","0.46","UP_KW_PTM","Glycoprotein","15","46","4605","14128","25.00","6.39e-1","1.00e+0","1.00","1.00e+0","1.00e+0","5.55e-1","ROBO2,TGFB1,CD82,IGFBP2,TGFA,KAZALD1,COCH,EVI2A,TMEM158,CILP,ITGAX,PTGFRN,CD68,SERINC5,TNFRSF22"
"11","0.46","UP_KW_DOMAIN","Transmembrane helix","12","37","5549","15070","20.00","8.29e-1","1.00e+0","0.88","1.00e+0","1.00e+0","7.63e-1","ROBO2,EVI2A,MYMX,TMEM158,CD82,ITGAX,TGFA,PTGFRN,ATP13A3,CD68,SERINC5,TNFRSF22"
"11","0.46","UP_KW_DOMAIN","Transmembrane","12","37","6120","15070","20.00","9.21e-1","1.00e+0","0.80","1.00e+0","1.00e+0","8.82e-1","ROBO2,EVI2A,MYMX,TMEM158,CD82,ITGAX,TGFA,PTGFRN,ATP13A3,CD68,SERINC5,TNFRSF22"
"11","0.46","UP_KW_CELLULAR_COMPONENT","Membrane","19","51","9361","19181","31.67","9.75e-1","1.00e+0","0.76","1.00e+0","1.00e+0","9.64e-1","ROBO2,CARMIL3,CD82,RRAD,TGFA,ARFGAP3,EEF1A1,EVI2A,MYMX,TMEM158,CYTH4,FEZ1,ITGAX,PGM5,PTGFRN,ATP13A3,CD68,SERINC5,TNFRSF22"
"11","0.46","UP_SEQ_FEATURE","TRANSMEM:Helical","11","56","6664","22290","18.33","9.84e-1","1.00e+0","0.66","1.00e+0","1.00e+0","9.70e-1","ROBO2,EVI2A,MYMX,TMEM158,CD82,ITGAX,TGFA,PTGFRN,ATP13A3,CD68,SERINC5"
"12","0.40","UP_KW_BIOLOGICAL_PROCESS","Innate immunity","3","25","408","11883","5.00","1.99e-1","9.27e-1","3.49","9.98e-1","9.27e-1","5.28e-2","NEURL3,ARHGEF2,SERINC5"
"12","0.40","GOTERM_BP_DIRECT","innate immune response","3","54","626","26568","5.00","3.56e-1","1.00e+0","2.36","1.00e+0","1.00e+0","1.34e-1","NEURL3,ARHGEF2,SERINC5"
"12","0.40","GOTERM_BP_DIRECT","immune system process","3","54","902","26568","5.00","5.41e-1","1.00e+0","1.64","1.00e+0","1.00e+0","2.77e-1","NEURL3,ARHGEF2,SERINC5"
"12","0.40","UP_KW_BIOLOGICAL_PROCESS","Immunity","3","25","1114","11883","5.00","6.72e-1","1.00e+0","1.28","1.00e+0","1.00e+0","4.20e-1","NEURL3,ARHGEF2,SERINC5"
"13","0.38","GOTERM_MF_DIRECT","calmodulin binding","3","51","212","24521","5.00","6.96e-2","1.00e+0","6.80","1.00e+0","1.00e+0","9.78e-3","EEF1A1,MYO1A,RRAD"
"13","0.38","UP_KW_PTM","Methylation","6","46","1039","14128","10.00","2.34e-1","1.00e+0","1.77","9.59e-1","1.00e+0","1.19e-1","EEF1A1,ACTC1,RRAD,MAP1B,STMN1,CENPA"
