"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"13","1.75","GOTERM_CC_DIRECT","plasma membrane","96","289","6491","27008","31.27","3.44e-4","8.43e-3","1.38","1.04e-1","7.56e-3","2.44e-4","KCNK5,KLB,ROBO2,PI4K2B,CD82,CLSTN3,LRRC38,FHL1,SLC2A1,ARHGDIG,MSLN,EDA2R,CX3CL1,TMEM100,TRO,CDH4,UCHL1,CASP4,NRCAM,PGM5,EMB,SCN5A,CPNE2,PRND,SH3D19,CHRNB1,FCRL2,SLC6A19,TNFRSF12A,MUSK,ACTN2,COL25A1,KCNH7,ARRDC3,SHROOM3,RHOC,EEF1A1,ALDH3A1,SLC7A5,ARL4D,TIAM1,JAML,FEZ1,MAP1B,ADAM12,DPEP2,APLNR,HCLS1,TLR4,RAPGEF4,TNFRSF22,CHRNA1,SLC43A2,RRAD,ABHD2,CHRNA9,ATP1A3,TGFA,CSF2RB,SEZ6L2,APCDD1,STX11,RASD2,NLN,CHRND,CACNA1I,TRPM2,MC2R,CYTH4,CHRNG,IRAK2,MICALL2,CLCA1,NCAM1,KCNN3,RAP1GAP2,CARMIL3,LILRB4A,GDF5,MYMK,AIF1L,TEC,EVI2A,MYMX,KCNS1,MYO1A,TMEM116,CLCA4A,NOSTRIN,ADGRL1,CNTN2,RGS12,CD68,FGFR4,ULBP1,SERINC5"
"13","1.75","GOTERM_CC_DIRECT","membrane","128","289","9459","27008","41.69","8.50e-4","1.70e-2","1.26","2.38e-1","1.52e-2","6.61e-4","KLB,PI4K2B,CD82,CLSTN3,ARHGDIG,XYLT1,CDH4,SLN,STMN1,NRCAM,PTGFRN,CPNE2,PRND,CHRNB1,SLC6A19,MUSK,KCNH7,ARRDC3,SHISA2,TMEM252,EEF1A1,TIAM2,TIAM1,ALDH3A1,JAML,FEZ1,ADAM12,DPEP2,APLNR,HHIPL1,CYP2E1,CTXN3,CD101,CHODL,CHRNA1,RRAD,ABHD2,CHRNA9,TGFA,CSF2RB,SEZ6L2,APCDD1,TRPM2,CCNB2,TRP53I11,CACNA1I,UGCG,MC2R,CCNB1,HMOX1,CLCA1,KCNN3,CARMIL3,AA467197,SHISAL1,GDF5,MYMK,AIF1L,CPEB1,MYMX,TMEM116,NOSTRIN,CNTN2,FGFR4,ULBP1,SERINC5,ROBO2,KCNK5,LRRC38,SLC2A1,DUSP18,MSLN,EDA2R,CX3CL1,TMEM100,UCHL1,GM807,CASP4,ITGAX,QSOX1,PGM5,SCN5A,EMB,OASL2,FCRL2,TNFRSF12A,COL25A1,ELOVL3,SHROOM3,RHOC,ARFGAP3,SLC7A5,ARL4D,BDH1,OAS2,TLR4,TNFRSF22,RAPGEF4,SLC43A2,RGS16,UCP1,ATP1A3,STX11,RASD2,CHRND,CYTH4,CHRNG,UCP2,MICALL2,NCAM1,AB124611,D17H6S56E-5,RUNX1T1,GALNT7,RRM2,CYP4B1,MBOAT2,LILRB4A,TMEM158,TEC,EVI2A,KCNS1,CLCA4A,ADGRL1,ATP13A3,CD68,LPIN2,TMEM229B"
"13","1.75","UP_SEQ_FEATURE","TOPO_DOM:Cytoplasmic","60","282","3361","22290","19.54","4.61e-3","2.46e-1","1.41","9.89e-1","2.44e-1","3.17e-3","KLB,ROBO2,CD82,CLSTN3,LRRC38,SLC2A1,XYLT1,EDA2R,CX3CL1,CDH4,SLN,ITGAX,NRCAM,PTGFRN,EMB,SCN5A,CHRNB1,SLC6A19,TNFRSF12A,MUSK,COL25A1,KCNH7,SHISA2,SLC7A5,JAML,ADAM12,APLNR,TLR4,CD101,TNFRSF22,CHODL,CHRNA1,ABHD2,ATP1A3,TGFA,CSF2RB,SEZ6L2,APCDD1,TRP53I11,CHRND,TRPM2,UGCG,MC2R,CHRNG,HMOX1,NCAM1,AB124611,GALNT7,SHISAL1,LILRB4A,MYMK,EVI2A,MYMX,KCNS1,ADGRL1,ATP13A3,CD68,FGFR4,SERINC5,TMEM229B"
"13","1.75","UP_KW_CELLULAR_COMPONENT","Cell membrane","66","253","3980","19181","21.50","3.04e-2","2.68e-1","1.26","7.43e-1","2.56e-1","2.34e-2","KLB,PI4K2B,CD82,CLSTN3,LRRC38,SLC2A1,MSLN,CX3CL1,TMEM100,CDH4,NRCAM,PGM5,EMB,SCN5A,CPNE2,PRND,CHRNB1,FCRL2,SLC6A19,MUSK,KCNH7,ARRDC3,SHROOM3,RHOC,EEF1A1,SLC7A5,ARL4D,TIAM1,JAML,FEZ1,APLNR,TLR4,TNFRSF22,CHRNA1,SLC43A2,RRAD,ABHD2,CHRNA9,ATP1A3,TGFA,SEZ6L2,APCDD1,RASD2,CHRND,TRPM2,MC2R,CYTH4,CHRNG,MICALL2,NCAM1,KCNN3,CARMIL3,LILRB4A,GDF5,MYMK,AIF1L,TEC,MYMX,KCNS1,CLCA4A,NOSTRIN,ADGRL1,CNTN2,CD68,FGFR4,SERINC5"
"13","1.75","UP_KW_DOMAIN","Transmembrane helix","82","205","5549","15070","26.71","2.15e-1","5.64e-1","1.09","9.94e-1","5.37e-1","1.90e-1","KLB,ROBO2,CD82,CLSTN3,LRRC38,SLC2A1,XYLT1,EDA2R,CX3CL1,TMEM100,CDH4,SLN,GM807,ITGAX,NRCAM,QSOX1,PTGFRN,EMB,SCN5A,CHRNB1,FCRL2,SLC6A19,TNFRSF12A,MUSK,COL25A1,KCNH7,ELOVL3,SHISA2,TMEM252,SLC7A5,JAML,ADAM12,DPEP2,APLNR,CTXN3,CYP2E1,TLR4,CD101,TNFRSF22,CHODL,CHRNA1,SLC43A2,ABHD2,UCP1,ATP1A3,TGFA,CSF2RB,SEZ6L2,APCDD1,TRP53I11,CHRND,TRPM2,UGCG,MC2R,CHRNG,UCP2,HMOX1,NCAM1,AB124611,KCNN3,RUNX1T1,GALNT7,RRM2,MBOAT2,CYP4B1,AA467197,SHISAL1,LILRB4A,MYMK,EVI2A,MYMX,TMEM158,KCNS1,TMEM116,CLCA4A,ADGRL1,ATP13A3,CD68,FGFR4,ULBP1,SERINC5,TMEM229B"
"13","1.75","UP_KW_DOMAIN","Transmembrane","86","205","6120","15070","28.01","4.05e-1","8.50e-1","1.03","1.00e+0","8.09e-1","3.72e-1","KCNK5,KLB,ROBO2,CD82,CLSTN3,LRRC38,SLC2A1,XYLT1,EDA2R,CX3CL1,TMEM100,CDH4,SLN,GM807,ITGAX,NRCAM,QSOX1,PTGFRN,EMB,SCN5A,CHRNB1,FCRL2,SLC6A19,TNFRSF12A,MUSK,COL25A1,KCNH7,ELOVL3,SHISA2,TMEM252,SLC7A5,JAML,ADAM12,DPEP2,APLNR,CTXN3,CYP2E1,TLR4,CD101,TNFRSF22,CHODL,CHRNA1,SLC43A2,ABHD2,UCP1,CHRNA9,ATP1A3,TGFA,CSF2RB,SEZ6L2,APCDD1,TRP53I11,CHRND,CACNA1I,TRPM2,UGCG,MC2R,CHRNG,UCP2,HMOX1,NCAM1,AB124611,KCNN3,D17H6S56E-5,RUNX1T1,GALNT7,RRM2,MBOAT2,CYP4B1,AA467197,SHISAL1,LILRB4A,MYMK,EVI2A,MYMX,TMEM158,KCNS1,TMEM116,CLCA4A,ADGRL1,ATP13A3,CD68,FGFR4,ULBP1,SERINC5,TMEM229B"
"13","1.75","UP_SEQ_FEATURE","TRANSMEM:Helical","80","282","6664","22290","26.06","7.64e-1","1.00e+0","0.95","1.00e+0","9.93e-1","7.34e-1","KCNK5,KLB,ROBO2,CD82,CLSTN3,LRRC38,SLC2A1,XYLT1,EDA2R,CX3CL1,TMEM100,CDH4,SLN,GM807,ITGAX,NRCAM,QSOX1,PTGFRN,EMB,SCN5A,CHRNB1,SLC6A19,TNFRSF12A,MUSK,COL25A1,KCNH7,ELOVL3,SHISA2,TMEM252,SLC7A5,JAML,ADAM12,DPEP2,APLNR,CTXN3,CYP2E1,TLR4,CD101,CHODL,CHRNA1,SLC43A2,CHRNA9,ATP1A3,TGFA,CSF2RB,SEZ6L2,APCDD1,TRP53I11,CHRND,CACNA1I,TRPM2,UGCG,MC2R,CHRNG,HMOX1,NCAM1,AB124611,KCNN3,D17H6S56E-5,RUNX1T1,RRM2,MBOAT2,CYP4B1,AA467197,SHISAL1,LILRB4A,MYMK,EVI2A,MYMX,TMEM158,KCNS1,TMEM116,CLCA4A,ADGRL1,ATP13A3,CD68,FGFR4,ULBP1,SERINC5,TMEM229B"
"13","1.75","UP_KW_CELLULAR_COMPONENT","Membrane","118","253","9361","19181","38.44","7.95e-1","1.00e+0","0.96","1.00e+0","9.77e-1","7.75e-1","KLB,PI4K2B,CD82,CLSTN3,XYLT1,CDH4,SLN,NRCAM,PTGFRN,CPNE2,PRND,CHRNB1,SLC6A19,MUSK,KCNH7,ARRDC3,SHISA2,TMEM252,EEF1A1,TIAM1,JAML,FEZ1,ADAM12,DPEP2,APLNR,CYP2E1,CTXN3,CD101,CHODL,CHRNA1,RRAD,ABHD2,CHRNA9,TGFA,CSF2RB,SEZ6L2,APCDD1,TRPM2,TRP53I11,CACNA1I,UGCG,MC2R,HMOX1,KCNN3,CARMIL3,AA467197,SHISAL1,GDF5,MYMK,AIF1L,CPEB1,MYMX,TMEM116,NOSTRIN,CNTN2,FGFR4,ULBP1,SERINC5,ROBO2,KCNK5,LRRC38,SLC2A1,DUSP18,MSLN,EDA2R,CX3CL1,TMEM100,UCHL1,GM807,CASP4,ITGAX,QSOX1,PGM5,SCN5A,EMB,FCRL2,TNFRSF12A,COL25A1,ELOVL3,SHROOM3,RHOC,ARFGAP3,SLC7A5,ARL4D,BDH1,TLR4,TNFRSF22,RAPGEF4,SLC43A2,RGS16,UCP1,ATP1A3,STX11,RASD2,CHRND,CYTH4,CHRNG,UCP2,MICALL2,NCAM1,AB124611,D17H6S56E-5,RUNX1T1,GALNT7,RRM2,CYP4B1,MBOAT2,LILRB4A,TMEM158,TEC,EVI2A,KCNS1,CLCA4A,ADGRL1,ATP13A3,CD68,LPIN2,TMEM229B"
"14","1.59","GOTERM_MF_DIRECT","microfilament motor activity","5","277","38","24521","1.63","8.58e-4","5.52e-2","11.65","3.57e-1","5.38e-2","6.56e-5","ACTC1,MYH3,MYO1A,TNNT2,MYH8"
"14","1.59","GOTERM_CC_DIRECT","myosin II complex","4","289","25","27008","1.30","2.32e-3","3.52e-2","14.95","5.23e-1","3.16e-2","1.36e-4","MYL4,MYH3,MYH8,MYL12A"
