"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"10","2.62","KEGG_PATHWAY","Pentose and glucuronate interconversions","4","169","36","11151","1.23","1.67e-2","1.72e-1","7.33","9.81e-1","1.61e-1","2.05e-3","UGT2B34,FGGY,UGT2B35,UGT1A2"
"10","2.62","KEGG_PATHWAY","Bile secretion","5","169","101","11151","1.54","6.61e-2","4.75e-1","3.27","1.00e+0","4.45e-1","1.86e-2","UGT2B34,UGT2B35,SLCO1A1,UGT1A2,SLC22A7"
"11","2.61","KEGG_PATHWAY","Glutathione metabolism","9","169","73","11151","2.77","1.31e-5","1.56e-3","8.13","3.11e-3","1.46e-3","1.44e-6","NAT8F6,GSTA4,GSTO1,GSTA1,CHAC2,GSTA13,GGT1,GCLM,NAT8F7"
"11","2.61","KEGG_PATHWAY","Chemical carcinogenesis - receptor activation","14","169","231","11151","4.31","4.58e-5","3.62e-3","4.00","1.08e-2","3.39e-3","1.08e-5","UGT2B34,HSP90AA1,PAQR7,HSP90AB1,UGT2B35,GSTO1,EPHX2,ESR1,GSTA4,GSTA1,EIF4EBP1,GSTA13,UGT1A2,FGF10"
"11","2.61","KEGG_PATHWAY","Drug metabolism - other enzymes","9","169","96","11151","2.77","9.66e-5","4.77e-3","6.19","2.26e-2","4.47e-3","1.43e-5","UGT2B34,GSTA4,GSTO1,UGT2B35,CES1F,GSTA1,CES2H,GSTA13,UGT1A2"
"11","2.61","KEGG_PATHWAY","Drug metabolism - cytochrome P450","8","169","72","11151","2.46","1.01e-4","4.77e-3","7.33","2.36e-2","4.47e-3","1.24e-5","UGT2B34,GSTA4,GSTO1,UGT2B35,GSTA1,GSTA13,UGT1A2,FMO5"
"11","2.61","KEGG_PATHWAY","Metabolism of xenobiotics by cytochrome P450","8","169","76","11151","2.46","1.42e-4","5.01e-3","6.95","3.31e-2","4.70e-3","1.85e-5","UGT2B34,GSTA4,GSTO1,UGT2B35,GSTA1,GSTA13,UGT1A2,CBR3"
"11","2.61","KEGG_PATHWAY","Chemical carcinogenesis - DNA adducts","8","169","90","11151","2.46","4.07e-4","1.07e-2","5.87","9.19e-2","1.00e-2","6.36e-5","UGT2B34,CYP2C55,GSTA4,GSTO1,UGT2B35,GSTA1,GSTA13,UGT1A2"
"11","2.61","GOTERM_MF_DIRECT","glutathione transferase activity","5","312","34","24402","1.54","8.88e-4","6.79e-2","11.50","4.57e-1","6.66e-2","6.79e-5","GSTA4,GSTO1,GSTA1,GSTA13,PTGES"
"11","2.61","GOTERM_BP_DIRECT","glutathione metabolic process","6","303","67","26481","1.85","1.01e-3","1.18e-1","7.83","8.48e-1","1.16e-1","1.19e-4","GSTA4,GSTO1,GSTA1,GSTA13,GGT1,GCLM"
"11","2.61","INTERPRO","Glutathione-S-Trfase_C-like","5","312","37","22338","1.54","1.69e-3","1.61e-1","9.68","8.29e-1","1.59e-1","1.56e-4","CLIC6,GSTA4,GSTO1,GSTA1,GSTA13"
"11","2.61","KEGG_PATHWAY","Fluid shear stress and atherosclerosis","9","169","149","11151","2.77","1.85e-3","3.66e-2","3.99","3.55e-1","3.43e-2","4.34e-4","EDN1,HSP90AA1,HSP90AB1,GSTA4,GSTO1,ITGB3,GSTA1,PLAT,GSTA13"
"11","2.61","INTERPRO","Glutathione_S-Trfase","5","312","39","22338","1.54","2.06e-3","1.79e-1","9.18","8.84e-1","1.78e-1","2.01e-4","CLIC6,GSTA4,GSTO1,GSTA1,GSTA13"
"11","2.61","UP_SEQ_FEATURE","DOMAIN:GST C-terminal","5","304","41","22331","1.54","2.27e-3","2.42e-1","8.96","8.87e-1","2.41e-1","2.27e-4","CLIC6,GSTA4,GSTO1,GSTA1,GSTA13"
"11","2.61","INTERPRO","GST_alpha","3","312","6","22338","0.92","2.79e-3","2.08e-1","35.80","9.46e-1","2.06e-1","5.23e-5","GSTA4,GSTA1,GSTA13"
"11","2.61","INTERPRO","Glutathione-S-Trfase_C_sf","5","312","47","22338","1.54","4.10e-3","2.52e-1","7.62","9.86e-1","2.49e-1","4.88e-4","CLIC6,GSTA4,GSTO1,GSTA1,GSTA13"
"11","2.61","KEGG_PATHWAY","Platinum drug resistance","6","169","81","11151","1.85","7.46e-3","9.82e-2","4.89","8.30e-1","9.20e-2","1.41e-3","GSTA4,GSTO1,GSTA1,GSTA13,BBC3,BIRC3"
"11","2.61","INTERPRO","GST_C","4","312","29","22338","1.23","7.47e-3","3.83e-1","9.88","1.00e+0","3.79e-1","6.73e-4","GSTA4,GSTO1,GSTA1,GSTA13"
"11","2.61","UP_SEQ_FEATURE","DOMAIN:GST N-terminal","4","304","30","22331","1.23","7.66e-3","4.34e-1","9.79","9.99e-1","4.32e-1","6.98e-4","GSTA4,GSTO1,GSTA1,GSTA13"
"11","2.61","INTERPRO","Glutathione_S-Trfase_N","4","312","31","22338","1.23","9.00e-3","3.91e-1","9.24","1.00e+0","3.87e-1","8.72e-4","GSTA4,GSTO1,GSTA1,GSTA13"
"11","2.61","INTERPRO","GST_superfamily","3","312","18","22338","0.92","2.55e-2","9.17e-1","11.93","1.00e+0","9.08e-1","1.88e-3","GSTA4,GSTA1,GSTA13"
"11","2.61","KEGG_PATHWAY","Hepatocellular carcinoma","7","169","174","11151","2.15","4.79e-2","4.05e-1","2.65","1.00e+0","3.80e-1","1.67e-2","FRAT2,GSTA4,GSTO1,GSTA1,TGFA,GSTA13,WNT16"
