"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"5","0.66","UP_KW_MOLECULAR_FUNCTION","Developmental protein","4","19","1083","12802","11.76","1.91e-1","1.00e+0","2.49","9.92e-1","1.00e+0","7.10e-2","MYOG,MUSK,TRP63,DKK3"
"5","0.66","UP_KW_MOLECULAR_FUNCTION","Developmental protein","4","19","1083","12802","11.76","1.91e-1","1.00e+0","2.49","9.92e-1","1.00e+0","7.10e-2","MYOG,MUSK,TRP63,DKK3"
"5","0.66","GOTERM_BP_DIRECT","regulation of DNA-templated transcription","4","33","1554","26568","11.76","2.87e-1","1.00e+0","2.07","1.00e+0","1.00e+0","1.25e-1","MYOG,MUSK,ZIM1,TRP63"
"6","0.49","GOTERM_BP_DIRECT","apoptotic process","4","33","687","26568","11.76","4.90e-2","1.00e+0","4.69","1.00e+0","1.00e+0","1.00e-2","EGLN3,MKNK2,PRUNE2,TRP63"
"6","0.49","UP_KW_BIOLOGICAL_PROCESS","Apoptosis","4","24","514","11883","11.76","7.50e-2","1.00e+0","3.85","8.96e-1","1.00e+0","1.85e-2","EGLN3,MKNK2,PRUNE2,TRP63"
"6","0.49","GOTERM_CC_DIRECT","nucleoplasm","5","33","3689","27008","14.71","6.53e-1","1.00e+0","1.11","1.00e+0","1.00e+0","4.76e-1","MYOG,LGALS3,PLK2,MKNK2,TRP63"
"6","0.49","GOTERM_CC_DIRECT","nucleus","8","33","6728","27008","23.53","7.18e-1","1.00e+0","0.97","1.00e+0","1.00e+0","6.02e-1","MYOG,LGALS3,EGLN3,IRAK2,PLK2,MKNK2,ZIM1,TRP63"
"6","0.49","UP_KW_CELLULAR_COMPONENT","Cytoplasm","8","29","5614","19181","23.53","7.54e-1","1.00e+0","0.94","1.00e+0","1.00e+0","6.47e-1","LGALS3,EGLN3,GSTA3,PLK2,MKNK2,PRUNE2,TRP63,MYOM3"
"6","0.49","UP_KW_CELLULAR_COMPONENT","Nucleus","6","29","5576","19181","17.65","9.42e-1","1.00e+0","0.71","1.00e+0","1.00e+0","8.88e-1","MYOG,LGALS3,EGLN3,MKNK2,ZIM1,TRP63"
"7","0.40","UP_SEQ_FEATURE","COMPBIAS:Polar residues","12","31","5631","22290","35.29","1.12e-1","1.00e+0","1.53","1.00e+0","1.00e+0","6.89e-2","CHODL,TIAM1,SLC7A5,PPFIBP2,IRAK2,PLK2,MKNK2,PRUNE2,ZIM1,TRP63,AMPD3,MYOM3"
"7","0.40","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues","9","31","6193","22290","26.47","6.23e-1","1.00e+0","1.04","1.00e+0","1.00e+0","5.06e-1","TIAM1,SLC7A5,PPFIBP2,SLC43A2,PRUNE2,ZIM1,TRP63,AMPD3,MYOM3"
"7","0.40","UP_SEQ_FEATURE","REGION:Disordered","16","31","13116","22290","47.06","8.79e-1","1.00e+0","0.88","1.00e+0","1.00e+0","8.42e-1","CHODL,SLC43A2,PLK2,PRUNE2,SLC2A1,TRP63,AMPD3,ORM2,MYOM3,TIAM1,LGALS3,SLC7A5,PPFIBP2,IRAK2,MKNK2,ZIM1"
"8","0.37","GOTERM_MF_DIRECT","protein binding","13","32","5653","24521","38.24","3.68e-2","9.33e-1","1.76","9.97e-1","9.33e-1","2.00e-2","CHODL,MYOG,MUSK,SLC2A1,CHRNA9,TRP63,MSLN,TIAM1,LGALS3,SLC7A5,IRAK2,MKNK2,TLR4"
"8","0.37","GOTERM_CC_DIRECT","synapse","4","33","1099","27008","11.76","1.40e-1","1.00e+0","2.98","1.00e+0","1.00e+0","4.37e-2","TIAM1,MUSK,CHRNA9,SLC2A1"
"8","0.37","UP_KW_CELLULAR_COMPONENT","Cell membrane","8","29","3980","19181","23.53","3.59e-1","1.00e+0","1.33","1.00e+0","1.00e+0","2.41e-1","TIAM1,SLC7A5,MUSK,SLC43A2,CHRNA9,SLC2A1,MSLN,TLR4"
"8","0.37","UP_SEQ_FEATURE","TOPO_DOM:Extracellular","5","31","2481","22290","14.71","4.33e-1","1.00e+0","1.45","1.00e+0","1.00e+0","2.59e-1","CHODL,SLC7A5,MUSK,SLC2A1,TLR4"
"8","0.37","GOTERM_CC_DIRECT","plasma membrane","9","33","6491","27008","26.47","5.17e-1","1.00e+0","1.13","1.00e+0","1.00e+0","3.95e-1","TIAM1,SLC7A5,MUSK,SLC43A2,IRAK2,CHRNA9,SLC2A1,MSLN,TLR4"
"8","0.37","UP_SEQ_FEATURE","TOPO_DOM:Cytoplasmic","5","31","3361","22290","14.71","6.83e-1","1.00e+0","1.07","1.00e+0","1.00e+0","5.11e-1","CHODL,SLC7A5,MUSK,SLC2A1,TLR4"
"8","0.37","UP_SEQ_FEATURE","TRANSMEM:Helical","9","31","6664","22290","26.47","7.15e-1","1.00e+0","0.97","1.00e+0","1.00e+0","6.09e-1","CHODL,SLC7A5,MUSK,SLC43A2,CHRNA9,SLC2A1,CTXN3,CYP2E1,TLR4"
"8","0.37","UP_KW_DOMAIN","Transmembrane","9","23","6120","15070","26.47","7.30e-1","9.19e-1","0.96","1.00e+0","9.19e-1","6.35e-1","CHODL,SLC7A5,MUSK,SLC43A2,CHRNA9,SLC2A1,CTXN3,CYP2E1,TLR4"
"8","0.37","GOTERM_CC_DIRECT","membrane","11","33","9459","27008","32.35","7.33e-1","1.00e+0","0.95","1.00e+0","1.00e+0","6.44e-1","CHODL,TIAM1,SLC7A5,MUSK,SLC43A2,CHRNA9,SLC2A1,CTXN3,CYP2E1,MSLN,TLR4"
"8","0.37","UP_KW_DOMAIN","Transmembrane helix","8","23","5549","15070","23.53","7.57e-1","9.19e-1","0.94","1.00e+0","9.19e-1","6.56e-1","CHODL,SLC7A5,MUSK,SLC43A2,SLC2A1,CTXN3,CYP2E1,TLR4"
"8","0.37","UP_KW_CELLULAR_COMPONENT","Membrane","11","29","9361","19181","32.35","9.44e-1","1.00e+0","0.78","1.00e+0","1.00e+0","9.13e-1","CHODL,TIAM1,SLC7A5,MUSK,SLC43A2,CHRNA9,SLC2A1,CTXN3,CYP2E1,MSLN,TLR4"
