"celltype","Reversal_norm","Reversal_DR","Reversal_sAct","Aged"
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.0904588741791757,-0.14325772610888,-0.699303157459719,0.0332997344722171
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Muscle stem cell",0.0226441174431499,-0.000571374454001516,-0.600526213858104,0.136555620871741
"Myonuclei (Myh4+?)",-0.233652768930494,-0.275981305593443,0.78215088497648,-0.275326350031491
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei (Myh4+?)",-0.245362867572952,-0.288410393591012,0.874220222521011,-0.212332084584783
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Fibroblasts",0.0617362502334325,0.00782888766593078,-0.449215739161264,-0.00534094925550725
"FAPs",-0.00255990855725625,-0.194601469276279,2.6811322296578,0.0274358514634091
"Myonuclei",0,0,0,0
"FAPs",-0.198139712520242,-0.206227815149687,-0.145883677895457,0.0389312005128456
"Myonuclei",0,0,0,0
"FAPs",0.00462663909974285,-0.0648355651703228,-0.751526885273046,0.0578475592170592
"FAPs",-0.0336957213661994,0.00428440254245693,-0.742858195286899,0.00412787708655057
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",0,0,0,0
"Myonuclei",0,0,0,0
"Tenocytes",0,0,0,0
"Fibroblasts",0.0579929846015436,-0.0557609984953722,4.94253712824496,-0.0436195141293682
"Myonuclei (Myh1+)",0,0,0,0
"Muscle stem cell",-0.127459217600153,-0.0686140249350486,-0.310588923883963,-0.0301659664080166
"Myonuclei (differentiating myocytes?)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0.245612721404723,-0.23283980101055,-0.788879412971048,0.20250767364393
"Muscle stem cell",0,0,0,0
"Myonuclei (Myh1+)",0.179969598111504,-0.121073606402895,-0.961061355646623,0.351999875292258
"Myonuclei",0,0,0,0
"FAPs",0.0587130771886266,-0.109021136292856,-0.518499578457598,-0.13935172189996
"Myonuclei",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",0.30869590637322,0.23860398886092,-0.610154283536743,0.267460784164776
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
