"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"TAL-2","PECs?","Egf","Egfr",0.0577645294818682,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PECs?","Egf","Egfr",0.0517291361425762,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC","PECs?","Egf","Egfr",0.0598526494887977,0.02,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","PECs?","Egf","Egfr",0.0422960121718496,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","PROLIF","Egf","Egfr",0.114742966766151,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PROLIF","Egf","Egfr",0.0934515068805795,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","PROLIF","Egf","Egfr",0.0607635104639362,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PROLIF","Egf","Egfr",0.0544328772510006,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC","PROLIF","Egf","Egfr",0.0629527970330434,0.02,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","PROLIF","Egf","Egfr",0.044529862418079,0.01,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","PT-1","Btc","Egfr",0.0280020765705942,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","TAL-1","Btc","Egfr",0.00591305219035197,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","DCT/CNT","Btc","Egfr",0.00356085465486962,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","PC_CNT","Btc","Egfr",0.0136867698372923,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","EC-2","Btc","Egfr",0.00148964401993153,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","EC-3","Btc","Egfr",0.000872255587026919,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","EC-4","Btc","Egfr",0.000541921378606505,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","EC-1(gEC)","Btc","Egfr",0.000124177867631228,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","EC-5","Btc","Egfr",0.00113112215558839,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","TAL-2","Btc","Egfr",0.00597039288905449,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","FIB","Btc","Egfr",0.00583978354396144,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","PODO","Btc","Egfr",2.20301470813791e-05,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","IC-B","Btc","Egfr",0.00335267387716887,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","Undef","Btc","Egfr",0.0246402742541894,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","IC-A","Btc","Egfr",0.00372272560874524,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","PT-2","Btc","Egfr",0.0216545501082298,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","Uro","Btc","Egfr",0.0061803436282142,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","PC","Btc","Egfr",0.00207663171319556,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","vSMC/MC","Btc","Egfr",0.00464602264886048,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","IMM","Btc","Egfr",0.00322804319564106,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","PECs?","Btc","Egfr",0.0162249918771301,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","PROLIF","Btc","Egfr",0.0171065043547599,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PT-1","PT-1","Pdgfd","Pdgfrb",0.000680460751206658,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"TAL-1","PT-1","Pdgfd","Pdgfrb",0.00360288242351441,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-2","PT-1","Pdgfd","Pdgfrb",0.0022383957926369,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-4","PT-1","Pdgfd","Pdgfrb",0.0038381337516433,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-1(gEC)","PT-1","Pdgfd","Pdgfrb",0.00284092490138497,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-5","PT-1","Pdgfd","Pdgfrb",0.0050250510530928,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"Undef","PT-1","Pdgfd","Pdgfrb",0.00275492963987643,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"vSMC/MC","PT-1","Pdgfd","Pdgfrb",0.00228786888158817,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"PECs?","PT-1","Pdgfd","Pdgfrb",0.00349442000991493,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
