"","Gene","Symbol","LFC_Age","LFC_Combined","LFC_DR","LFC_sAct","Restoration_DR","Restoration_sAct","Restoration_Combined","Intervention_DR_Effect","Intervention_sAct_Effect","Intervention_Combined_Effect"
"1","ENSMUSG00000000088","Cox5a",-0.174917715951122,0.0112219554529745,0.0610065042877867,-0.00109005801550738,0.348772586904999,0,0.0641556253576411,"Rescue","Worsening","Rescue"
"2","ENSMUSG00000000247","Lhx2",1.20771159010023,-0.239704497622401,-0.05355327806118,0.00459380464278717,0.0443427706582955,0,0.198478262183861,"Rescue","Worsening","Rescue"
"3","ENSMUSG00000000326","Comt",0.326224428395066,-0.0410605503444816,-0.0311916582545595,0.00671006612521637,0.0956141096116371,0,0.125865958433855,"Rescue","Worsening","Rescue"
"4","ENSMUSG00000000552","Zfp385a",0.936886416167109,-0.276848778134473,-0.10770785497839,0.000516284418539492,0.114963621117524,0,0.29549876415872,"Rescue","Worsening","Rescue"
"5","ENSMUSG00000000682","Cd52",0.823002444749275,-0.334851761665038,-0.819897524158271,6.99106180273895e-05,0.996227325191057,0,0.406866059513408,"Rescue","Worsening","Rescue"
"6","ENSMUSG00000000708","Kat2b",-0.301983870818369,0.046947784081338,0.0394225667815354,-0.00559822988776672,0.130545272748181,0,0.155464541712478,"Rescue","Worsening","Rescue"
"7","ENSMUSG00000000732","Icosl",0.401032477854379,-0.100905113494034,-0.0950871964823875,0.00520007496494154,0.237105974536344,0,0.251613320781151,"Rescue","Worsening","Rescue"
"8","ENSMUSG00000000782","Tcf7",1.03028652238985,-0.229693183002693,-0.0408430287216294,0.00354460785488108,0.0396423983368141,0,0.222941073197674,"Rescue","Worsening","Rescue"
"9","ENSMUSG00000000811","Txnrd3",0.303133220046565,-0.19751747265663,-0.411086982668547,0.00495785562179168,1.35612646679041,0,0.651586363996296,"Rescue","Worsening","Rescue"
"10","ENSMUSG00000001128","Cfp",0.733131018730493,-0.175920878878556,-0.271797679893609,0.012552496764725,0.370735479674915,0,0.2399583081114,"Rescue","Worsening","Rescue"
"11","ENSMUSG00000001248","Gramd1a",0.523269681479653,-0.0557282394535048,-0.243831819759613,0.00714104692546264,0.46597735047467,0,0.106500035117498,"Rescue","Worsening","Rescue"
"12","ENSMUSG00000001473","Tubb6",0.950399248019756,-0.101831586280736,-0.0319827555321891,0.00717500067698891,0.0336519158646517,0,0.107146114112476,"Rescue","Worsening","Rescue"
"13","ENSMUSG00000001525","Tubb5",0.548415567878371,-0.0924292063924676,-0.0514506705420212,0.0021783145963255,0.0938169402102605,0,0.168538626191893,"Rescue","Worsening","Rescue"
"14","ENSMUSG00000001542","Ell2",-0.403529831872846,0.127200013083015,0.243860573479288,-0.00194923417537394,0.604318576268555,0,0.315218363144702,"Rescue","Worsening","Rescue"
"15","ENSMUSG00000001729","Akt1",0.303263757369824,-0.032898299905898,-0.0474424497013667,0.00252601241387557,0.156439563081425,0,0.108480816142429,"Rescue","Worsening","Rescue"
"16","ENSMUSG00000001750","Tcirg1",0.455373748316355,-0.0493265398659016,-0.134127494551047,0.0574628577292028,0.294543756742576,0,0.108321000163658,"Rescue","Worsening","Rescue"
"17","ENSMUSG00000001833","Septin7",0.255668619427042,-0.0401386437041757,-0.0275922937624943,0.000531994759934632,0.107922097848102,0,0.156994799729928,"Rescue","Worsening","Rescue"
"18","ENSMUSG00000001870","Ltbp1",0.455219789010053,-0.501539504186446,-0.413015360704572,0.000246945789425516,0.907287799598385,0,1.10175242002797,"Rescue","Worsening","Rescue"
"19","ENSMUSG00000001891","Ugp2",-0.533859505373504,0.0484778442258922,0.118064924017771,-0.00103137510233228,0.221153548507429,0,0.0908063708484045,"Rescue","Worsening","Rescue"
"20","ENSMUSG00000002033","Cd3g",0.950100045658766,-0.118643007285565,-0.16654068694755,0.00808756594035006,0.175287526517353,0,0.124874225433073,"Rescue","Worsening","Rescue"
"21","ENSMUSG00000002058","Unc119",0.578330164673372,-0.113782505664406,-0.094471217583537,0.000211178015463694,0.163351703497763,0,0.196743162668452,"Rescue","Worsening","Rescue"
"22","ENSMUSG00000002068","Ccne1",1.51237384555758,-0.180725451697796,-0.0664998865973939,0.00734845270965033,0.0439705346616047,0,0.119497869014765,"Rescue","Worsening","Rescue"
"23","ENSMUSG00000002222","Rmnd5a",-0.285506936477471,0.284164554344618,0.525179136180976,-0.00160678181418942,1.83946191521836,0,0.995298250370324,"Rescue","Worsening","Rescue"
"24","ENSMUSG00000002458","Rgs19",1.13322752639239,-0.348680461636918,-0.400993153706063,0.00148324010930854,0.353850523718408,0,0.307687956316184,"Rescue","Worsening","Rescue"
"25","ENSMUSG00000002603","Tgfb1",0.459642923989952,-0.0661720643590038,-0.0641519361362333,0.0160132631665399,0.139569071529176,0,0.143964066246455,"Rescue","Worsening","Rescue"
"26","ENSMUSG00000002808","Epdr1",0.847372409069279,-0.401935792317968,-0.41681232969053,0.00120618507744322,0.491888011964351,0,0.474331932472806,"Rescue","Worsening","Rescue"
"27","ENSMUSG00000002900","Lamb1",0.204762027062581,-0.0691684779676413,-0.029580267430264,0.00487050217817714,0.144461684886639,0,0.337799341801307,"Rescue","Worsening","Rescue"
"28","ENSMUSG00000003283","Hck",0.789923870656529,-0.361318792448968,-0.354644878398875,0.0233913709040457,0.448960832268709,0,0.457409638917059,"Rescue","Worsening","Rescue"
"29","ENSMUSG00000003518","Dusp3",0.645905257226326,-0.152922152892858,-0.297782712709804,0.00742474815446147,0.461031566747971,0,0.236756321739109,"Rescue","Worsening","Rescue"
"30","ENSMUSG00000003534","Ddr1",0.395705748231321,-0.0227639524248133,-0.0706220978192891,0.00262170451182973,0.178471245704535,0,0.0575274747121086,"Rescue","Worsening","Rescue"
"31","ENSMUSG00000003970","Rpl8",-0.243889995575528,0.0443223732054897,0.059349301572708,-0.0106339539508616,0.243344551434577,0,0.181731001720257,"Rescue","Worsening","Rescue"
"32","ENSMUSG00000004056","Akt2",-0.301400859702407,0.0375607143547709,0.0570870673225401,-7.96836002678186e-05,0.189405787955966,0,0.124620461905308,"Rescue","Worsening","Rescue"
"33","ENSMUSG00000004665","Cnn2",0.502065827135374,-0.0484512652529194,-0.386878902609623,0.0125580620175455,0.77057405961491,0,0.0965038101265859,"Rescue","Worsening","Rescue"
"34","ENSMUSG00000004730","Adgre1",0.880458107514756,-0.0758829947705607,-0.130233509133439,0.0795947233577804,0.147915622585435,0,0.0861858095494781,"Rescue","Worsening","Rescue"
"35","ENSMUSG00000005124","Ccn4",0.786753617988401,-0.219647361794581,-0.321518658889844,0.0126659399111934,0.408664989316369,0,0.279181889695256,"Rescue","Worsening","Rescue"
"36","ENSMUSG00000005510","Ndufs3",-0.196577339600307,0.0399413288351713,0.0535148746784821,-0.00325264076650652,0.27223318205085,0,0.203183789730711,"Rescue","Worsening","Rescue"
"37","ENSMUSG00000005621","Zfp592",-0.417176535806138,0.0130656138842199,0.0410430089217049,-0.00417174495926832,0.0983828317246913,0,0.0313191485205953,"Rescue","Worsening","Rescue"
"38","ENSMUSG00000005846","Rsl1d1",-0.442590122588844,0.0364568106583085,0.0735950705157688,-9.80964392356556e-05,0.166282677266472,0,0.0823714963295194,"Rescue","Worsening","Rescue"
"39","ENSMUSG00000006369","Fbln1",1.25675954097905,-0.554257618469475,-0.0739948813321891,0.0119463100962758,0.0588775170742249,0,0.441021214000646,"Rescue","Worsening","Rescue"
"40","ENSMUSG00000007646","Rad51c",-0.602815980085207,0.0465830308198529,0.0389892030331815,-0.0145315552662128,0.0646784496782425,0,0.077275706614925,"Rescue","Worsening","Rescue"
"41","ENSMUSG00000007777","Trappc2b",-0.502527174433426,0.052115017749997,0.0887640683938683,-0.00288798728214684,0.176635360055793,0,0.10370586985421,"Rescue","Worsening","Rescue"
"42","ENSMUSG00000008393","Carhsp1",0.327178217401515,-0.0342858903982926,-0.0282691031508622,0.00304681964315591,0.0864027665881258,0,0.104792704937984,"Rescue","Worsening","Rescue"
"43","ENSMUSG00000008668","Rps18",-0.263436287960232,0.14807823975159,0.1377054664866,-0.00907713847066951,0.522727781934839,0,0.562102665878526,"Rescue","Worsening","Rescue"
"44","ENSMUSG00000008682","Rpl10",-0.412639529320935,0.0765884590147059,0.0799340230629344,-0.00272896940331102,0.193713925552597,0,0.185606209712251,"Rescue","Worsening","Rescue"
"45","ENSMUSG00000009927","Rps25",-0.30932424356587,0.0314683064919994,0.0814467167693165,-0.0840373672939492,0.263305312995851,0,0.101732428500381,"Rescue","Worsening","Rescue"
"46","ENSMUSG00000010051","Hyal1",-0.515400961425036,0.0598063366391545,0.0765239703249437,-0.00143723372705594,0.148474636355667,0,0.116038465418837,"Rescue","Worsening","Rescue"
"47","ENSMUSG00000010358","Ifi35",0.655722944072854,-0.0949618223784237,-0.128113477203275,0.00764235633438708,0.195377450737855,0,0.144820039068014,"Rescue","Worsening","Rescue"
"48","ENSMUSG00000010517","Faf1",-0.37688500936661,0.0176403657596101,0.0369525057252996,-0.00302899452423724,0.0980471624154055,0,0.0468056975501794,"Rescue","Worsening","Rescue"
"49","ENSMUSG00000010660","Plcd1",0.486040724446808,-0.00688333540537887,-0.00978491705129851,0.00382962403337846,0.0201318872249549,0,0.0141620548632282,"Rescue","Worsening","Rescue"
"50","ENSMUSG00000012848","Rps5",-0.243814345350963,0.0850841179961614,0.0983362819410185,-0.00168923286016266,0.403324430313838,0,0.348970926520692,"Rescue","Worsening","Rescue"
"51","ENSMUSG00000013160","Atp6v0d1",-0.242842625907969,0.0464337533195334,0.086486935052915,-0.00109062217245999,0.356143962492365,0,0.19120923744718,"Rescue","Worsening","Rescue"
"52","ENSMUSG00000013622","Atraid",-0.400646177718267,0.049764510513844,0.179598929610581,-0.00612610490314144,0.448273163701252,0,0.124210620945542,"Rescue","Worsening","Rescue"
