"","Gene","Symbol","LFC_Age","LFC_Combined","LFC_DR","LFC_sAct","Restoration_DR","Restoration_sAct","Restoration_Combined","Intervention_DR_Effect","Intervention_sAct_Effect","Intervention_Combined_Effect"
"1","ENSMUSG00000000001","Gnai3",-0.171860544864075,0.0756992596446172,0.00180456756339487,0.00137302276223662,0.0105001852800019,0.00798916798106601,0.440469100714699,"Rescue","Rescue","Rescue"
"2","ENSMUSG00000000088","Cox5a",-0.174917715951122,0.0112219554529745,0.0610065042877867,-0.00109005801550738,0.348772586904999,0,0.0641556253576411,"Rescue","Worsening","Rescue"
"3","ENSMUSG00000000126","Wnt9a",0.642384853516706,-0.135193317681435,-0.0517449261938089,-0.00854563895822158,0.0805512862118927,0.0133029894952206,0.21045533209777,"Rescue","Rescue","Rescue"
"4","ENSMUSG00000000142","Axin2",0.641435963733553,-0.0303830290960551,0.00595355344760543,-0.00357045353369379,0,0.00556634447640189,0.047367205479417,"Worsening","Rescue","Rescue"
"5","ENSMUSG00000000171","Sdhd",-0.362352204357799,0.100784291428695,0.0720749840312607,0.00110285018549113,0.198908639617634,0.00304358624627583,0.278139032180902,"Rescue","Rescue","Rescue"
"6","ENSMUSG00000000247","Lhx2",1.20771159010023,-0.239704497622401,-0.05355327806118,0.00459380464278717,0.0443427706582955,0,0.198478262183861,"Rescue","Worsening","Rescue"
"7","ENSMUSG00000000275","Trim25",-0.548928082732856,0.0212737147202508,0.0453941183060477,0.0127777582659521,0.082695930002436,0.0232776545195822,0.0387550125224764,"Rescue","Rescue","Rescue"
"8","ENSMUSG00000000278","Scpep1",-0.571369353258928,0.0411143357936038,0.00265885147679777,0.0317020583695088,0.00465347233209558,0.0554843520897459,0.0719575447284656,"Rescue","Rescue","Rescue"
"9","ENSMUSG00000000296","Tpd52l1",0.509310695550393,-0.00413447530220646,-0.0991274603612606,-0.00653962478423623,0.194630627684222,0.0128401481480162,0.00811778613394029,"Rescue","Rescue","Rescue"
"10","ENSMUSG00000000320","Alox12",0.499605330735885,-0.015193820830791,-0.0238983198115826,-0.0180659280697752,0.047834397155815,0.0361603989356265,0.0304116467460656,"Rescue","Rescue","Rescue"
"11","ENSMUSG00000000326","Comt",0.326224428395066,-0.0410605503444816,-0.0311916582545595,0.00671006612521637,0.0956141096116371,0,0.125865958433855,"Rescue","Worsening","Rescue"
"12","ENSMUSG00000000552","Zfp385a",0.936886416167109,-0.276848778134473,-0.10770785497839,0.000516284418539492,0.114963621117524,0,0.29549876415872,"Rescue","Worsening","Rescue"
"13","ENSMUSG00000000594","Gm2a",-0.410439726107803,0.260266665520126,0.223282494027329,0.29401506797291,0.544007998798546,0.716341643536927,0.634116653346967,"Rescue","Rescue","Rescue"
"14","ENSMUSG00000000631","Myo18a",0.232406921550948,-0.0815764357242069,-0.0803946208948209,-0.000151579133095014,0.345921801116396,0.000652214366437382,0.351006911411301,"Rescue","Rescue","Rescue"
"15","ENSMUSG00000000682","Cd52",0.823002444749275,-0.334851761665038,-0.819897524158271,6.99106180273895e-05,0.996227325191057,0,0.406866059513408,"Rescue","Worsening","Rescue"
