"GeneID","log2FoldChange_aging","padj_aging","log2FoldChange_intervention","padj_intervention","Symbol","LFC_Sum","rescue_significant"
"ENSMUSG00000000001",-0.171860544864075,0.0338778658743612,0.0756992596446172,0.421907822211879,"Gnai3",-0.0961612852194575,"No"
"ENSMUSG00000000058",1.1573115769848,9.52643245256819e-23,-0.0405325359253085,0.776563421874335,"Cav2",1.11677904105949,"No"
"ENSMUSG00000000088",-0.174917715951122,0.0357899506447974,0.0112219554529745,0.943359177704361,"Cox5a",-0.163695760498148,"No"
"ENSMUSG00000000126",0.642384853516706,0.0405442829837829,-0.135193317681435,0.324451992847698,"Wnt9a",0.50719153583527,"No"
"ENSMUSG00000000142",0.641435963733553,0.00878220772693233,-0.0303830290960551,0.845796497927102,"Axin2",0.611052934637498,"No"
"ENSMUSG00000000154",-1.55191758348769,4.09590183259642e-41,0.00730136889787197,0.970339624256026,"Slc22a18",-1.54461621458981,"No"
"ENSMUSG00000000171",-0.362352204357799,1.99457465674562e-05,0.100784291428695,0.283094267115833,"Sdhd",-0.261567912929104,"No"
"ENSMUSG00000000216",0.713335714107896,7.82396108074745e-10,-0.0899798187784126,0.425144963585709,"Scnn1g",0.623355895329483,"No"
"ENSMUSG00000000244",1.13782223311583,0.0184483252737125,-0.0298174823345692,0.819257464875611,"Tspan32",1.10800475078126,"No"
"ENSMUSG00000000247",1.20771159010023,0.00609082672880729,-0.239704497622401,0.144816517636974,"Lhx2",0.968007092477831,"No"
"ENSMUSG00000000275",-0.548928082732856,0.00442441971680317,0.0212737147202508,0.899572628075789,"Trim25",-0.527654368012605,"No"
"ENSMUSG00000000278",-0.571369353258928,5.83053427422938e-07,0.0411143357936038,0.772268528701495,"Scpep1",-0.530255017465324,"No"
"ENSMUSG00000000290",0.913527476750809,0.000258242639919636,-0.0431777006496985,0.768207628417727,"Itgb2",0.87034977610111,"No"
"ENSMUSG00000000295",0.936573320517121,5.4465276592383e-06,-0.107544737896352,0.392137439841088,"Hddc2",0.82902858262077,"No"
"ENSMUSG00000000296",0.509310695550393,0.00141682314351898,-0.00413447530220646,0.98388057378924,"Tpd52l1",0.505176220248186,"No"
"ENSMUSG00000000303",0.683998931679822,3.57170392410459e-20,-0.0460721184438109,0.687621215385166,"Cdh1",0.637926813236011,"No"
"ENSMUSG00000000308",1.25490355598345,1.80198680796495e-28,-0.123386901310265,0.242099289759919,"Ckmt1",1.13151665467319,"No"
"ENSMUSG00000000320",0.499605330735885,0.030811484876011,-0.015193820830791,0.933267186750235,"Alox12",0.484411509905094,"No"
"ENSMUSG00000000326",0.326224428395066,0.0402710561617109,-0.0410605503444816,0.781378645491797,"Comt",0.285163878050585,"No"
"ENSMUSG00000000340",-1.23542292914534,1.77901467869456e-28,0.158453255446594,0.135434107338778,"Dbt",-1.07696967369874,"No"
"ENSMUSG00000000386",2.21012645527805,6.62515366504688e-06,-0.0492626066944744,0.714366022047517,"Mx1",2.16086384858358,"No"
"ENSMUSG00000000402",0.727979155235415,0.000291069747325452,-1.61057207367805,9.25522805433334e-14,"Egfl6",-0.882592918442633,"Yes"
"ENSMUSG00000000552",0.936886416167109,2.42900109840067e-05,-0.276848778134473,0.0873392418804723,"Zfp385a",0.660037638032636,"No"
"ENSMUSG00000000555",0.654570030230016,0.000143606033871563,-0.0371356565492593,0.810518818077812,"Itga5",0.617434373680756,"No"
"ENSMUSG00000000567",1.63590161972013,1.45144754530388e-05,-0.156765317536365,0.269924607895985,"Sox9",1.47913630218377,"No"
"ENSMUSG00000000594",-0.410439726107803,9.68384727631876e-05,0.260266665520126,0.0135505408103478,"Gm2a",-0.150173060587677,"Yes"
