"","Aged1","celltype"
"Cell_6159",0.200242838840268,"PT-2"
"Cell_6160",0,"PT-1"
"Cell_6161",0.145327600491122,"PT-2"
"Cell_6162",0,"TAL-1"
"Cell_6163",0,"TAL-1"
"Cell_6164",0.231707890968364,"PT-2"
"Cell_6165",0,"IC-B"
"Cell_6166",0,"TAL-2"
"Cell_6167",0.0825175783264249,"FIB"
"Cell_6168",0,"PT-1"
"Cell_6169",0.0216135606694005,"EC-4"
"Cell_6170",0,"PT-1"
"Cell_6171",0,"PT-1"
"Cell_6172",0,"PT-1"
"Cell_6173",0.124230985060922,"PT-2"
"Cell_6174",0.0900855566996874,"PECs?"
"Cell_6175",0.144437138446394,"PT-2"
"Cell_6176",0,"PT-1"
"Cell_6177",0.0604539822478076,"EC-3"
"Cell_6178",0.0567200930991731,"EC-2"
"Cell_6179",0.0571398505446233,"vSMC/MC"
"Cell_6180",0,"PT-1"
"Cell_6181",0.168081551339862,"PT-2"
"Cell_6182",0,"PT-1"
"Cell_6183",0,"PT-1"
"Cell_6184",0.192684198934404,"PT-1"
"Cell_6185",0,"DCT/CNT"
"Cell_6186",0,"PC_CNT"
"Cell_6187",0,"TAL-2"
"Cell_6188",0,"PT-1"
"Cell_6189",0.105732384828975,"PT-1"
"Cell_6190",0,"PC_CNT"
"Cell_6191",0,"PT-1"
"Cell_6192",0,"DCT/CNT"
"Cell_6193",0,"TAL-1"
"Cell_6194",0,"PT-1"
"Cell_6195",0,"PT-1"
"Cell_6196",0.228447533962843,"PT-1"
"Cell_6197",0.0739740281194959,"FIB"
"Cell_6198",0.0838799367048813,"EC-2"
"Cell_6199",0.089332775482988,"IMM"
"Cell_6200",0,"TAL-2"
"Cell_6201",0.188709117423239,"PT-1"
"Cell_6202",0,"PT-1"
"Cell_6203",0,"PT-1"
"Cell_6204",0,"PT-1"
"Cell_6205",0,"PT-1"
"Cell_6206",0,"TAL-2"
"Cell_6207",0,"TAL-1"
"Cell_6208",0.0376117624578198,"PECs?"
"Cell_6209",0.315149891244099,"PT-1"
"Cell_6210",0,"PT-1"
"Cell_6211",0.175020382302245,"PT-1"
"Cell_6212",0,"PT-2"
"Cell_6213",0,"DCT/CNT"
"Cell_6214",0.186554887983407,"PT-1"
"Cell_6215",0,"PT-1"
"Cell_6216",0.400296004955466,"PT-1"
"Cell_6217",0.118372565647802,"FIB"
"Cell_6218",0.0255452822058712,"vSMC/MC"
"Cell_6219",0.232990017591354,"PT-1"
"Cell_6220",0.178719493734403,"PT-2"
"Cell_6221",0,"PT-1"
"Cell_6222",0.153881942453932,"PT-1"
"Cell_6223",0.0760464456237515,"EC-3"
"Cell_6224",0,"TAL-2"
"Cell_6225",0,"PT-1"
"Cell_6226",-0.00108357347217014,"vSMC/MC"
"Cell_6227",0,"PT-1"
"Cell_6228",0.152204778741268,"PT-2"
"Cell_6229",0,"PT-1"
"Cell_6230",0.146416325815653,"PT-2"
"Cell_6231",0,"PT-1"
"Cell_6232",0,"PT-1"
"Cell_6233",0,"PT-1"
"Cell_6234",0,"IC-A"
"Cell_6235",0,"PT-1"
"Cell_6236",0,"PT-1"
"Cell_6237",0.215447848036465,"PT-1"
"Cell_6238",0,"PT-1"
"Cell_6239",-0.0196629708393616,"EC-1(gEC)"
"Cell_6240",0,"PT-1"
"Cell_6241",0.171696251267083,"PT-2"
"Cell_6242",0.0491294031409652,"EC-2"
"Cell_6243",0,"PC_CNT"
"Cell_6244",0,"TAL-1"
"Cell_6245",0.041613134882745,"EC-5"
"Cell_6246",0,"PT-1"
"Cell_6247",0.131604882774862,"PT-2"
"Cell_6248",0.188634212320224,"PT-1"
"Cell_6249",0,"Undef"
"Cell_6250",0,"PT-1"
"Cell_6251",0.0352038993010262,"EC-2"
"Cell_6252",0,"PT-1"
"Cell_6253",0,"PT-1"
"Cell_6254",0.151820102253814,"PT-2"
"Cell_6255",0,"PT-1"
"Cell_6256",0,"PT-1"
"Cell_6257",0,"PT-1"
"Cell_6258",0.113491033624058,"EC-3"
"Cell_6259",0,"DCT/CNT"
"Cell_6260",0,"PT-1"
"Cell_6261",0.0518450814415064,"EC-2"
"Cell_6262",0.136617409856292,"PT-1"
"Cell_6263",0.234901103134343,"PT-2"
"Cell_6264",0,"PT-1"
"Cell_6265",0,"PT-1"
"Cell_6266",0.107912620843258,"IC-B"
"Cell_6267",0,"PT-1"
"Cell_6268",0,"TAL-1"
"Cell_6269",0,"PT-1"
"Cell_6270",0.230142311084688,"PT-1"
"Cell_6271",0,"PT-1"
"Cell_6272",0.269675814442822,"PT-1"
"Cell_6273",0,"PT-1"
"Cell_6274",0.0799820358841067,"EC-3"
"Cell_6275",0,"PT-1"
"Cell_6276",0,"PT-1"
"Cell_6277",0.189591613434711,"PT-1"
"Cell_6278",0,"PC_CNT"
"Cell_6279",0,"DCT/CNT"
"Cell_6280",0.201899805343646,"PT-1"
"Cell_6281",0.158011780609554,"PT-2"
"Cell_6282",0.0318219820652937,"EC-2"
"Cell_6283",0,"IC-B"
"Cell_6284",0.0453712301637867,"EC-3"
"Cell_6285",0,"PT-1"
"Cell_6286",0,"PT-1"
"Cell_6287",0,"PT-1"
"Cell_6288",0.123580229630811,"IMM"
"Cell_6289",0.324559155774232,"PT-1"
"Cell_6290",0,"Uro"
"Cell_6291",0,"PC_CNT"
"Cell_6292",0.221333174468928,"PT-1"
"Cell_6293",0.225898417176963,"PT-2"
"Cell_6294",0,"PT-1"
"Cell_6295",0,"TAL-2"
"Cell_6296",0.20425914767341,"PT-1"
"Cell_6297",0,"IC-B"
"Cell_6298",0.118592451789184,"PT-2"
"Cell_6299",0,"TAL-2"
"Cell_6300",0.0761350967387258,"vSMC/MC"
"Cell_6301",0,"TAL-2"
"Cell_6302",0,"PT-1"
"Cell_6303",0,"DCT/CNT"
"Cell_6304",0,"PT-1"
"Cell_6305",0,"TAL-1"
"Cell_6306",0.077002926921357,"PODO"
"Cell_6307",0.0494750677435062,"PODO"
"Cell_6308",0.278467550838408,"PT-1"
"Cell_6309",0,"PT-1"
"Cell_6310",0,"PT-1"
"Cell_6311",0.247430518554235,"PT-2"
"Cell_6312",0,"PT-1"
"Cell_6313",0,"PT-1"
"Cell_6314",0,"PT-1"
"Cell_6315",0.283681778407361,"PT-1"
"Cell_6316",0,"PT-1"
"Cell_6317",0,"PT-1"
"Cell_6318",0.24723365030732,"PT-1"
"Cell_6319",0,"PT-1"
"Cell_6320",0,"PT-1"
"Cell_6321",0.0711709301641206,"EC-2"
"Cell_6322",0.150915313602742,"EC-3"
"Cell_6323",0.174359551395808,"PT-1"
"Cell_6324",0,"TAL-1"
"Cell_6325",0,"PT-1"
"Cell_6326",0,"PT-1"
"Cell_6327",0,"PT-1"
"Cell_6328",-0.00436653681931065,"EC-3"
"Cell_6329",0.37215696058589,"PT-1"
"Cell_6330",0,"DCT/CNT"
"Cell_6331",0,"TAL-1"
"Cell_6332",0,"PT-1"
"Cell_6333",0.0637117017371829,"FIB"
"Cell_6334",0,"PT-1"
"Cell_6335",0.0502756541463112,"EC-2"
"Cell_6336",0,"DCT/CNT"
"Cell_6337",0,"DCT/CNT"
"Cell_6338",0,"PT-1"
"Cell_6339",0.036429084181319,"EC-2"
"Cell_6340",0.171205056057085,"PT-1"
"Cell_6341",0,"PT-1"
"Cell_6342",0.158897231315729,"FIB"
"Cell_6343",0.192711170512176,"PT-1"
"Cell_6344",0,"PT-1"
"Cell_6345",0.216386639575766,"PT-1"
"Cell_6346",0,"PT-1"
"Cell_6347",0,"DCT/CNT"
"Cell_6348",0.163747348890418,"PT-2"
"Cell_6349",0,"PT-1"
"Cell_6350",0.199746568380556,"PT-1"
"Cell_6351",0,"PT-1"
"Cell_6352",0,"PT-1"
"Cell_6353",0.0105145188631609,"EC-5"
"Cell_6354",0,"PT-1"
"Cell_6355",0,"PT-1"
"Cell_6356",0,"DCT/CNT"
"Cell_6357",0.0795312100013195,"vSMC/MC"
"Cell_6358",0,"PT-1"
"Cell_6359",0,"PT-1"
"Cell_6360",0,"PT-1"
"Cell_6361",0.219524010121115,"PT-1"
"Cell_6362",0,"TAL-2"
"Cell_6363",0,"PT-1"
"Cell_6364",0.0160424052246972,"EC-1(gEC)"
"Cell_6365",0,"PT-1"
"Cell_6366",0,"PT-1"
"Cell_6367",0.0902599277414938,"FIB"
"Cell_6368",0.0103855375492105,"EC-2"
"Cell_6369",0,"PT-1"
"Cell_6370",0,"PT-1"
"Cell_6371",0,"PT-1"
"Cell_6372",0.168348956303784,"PT-1"
"Cell_6373",0,"PC_CNT"
"Cell_6374",0.190483350865776,"PT-2"
"Cell_6375",0.0669414952514674,"PODO"
"Cell_6376",0,"PT-1"
"Cell_6377",0.112846323151861,"FIB"
"Cell_6378",0.0115115136286322,"PODO"
"Cell_6379",0.0518309634327995,"PODO"
"Cell_6380",0,"PT-1"
"Cell_6381",0,"PT-1"
"Cell_6382",0.075601942990884,"FIB"
"Cell_6383",0,"PT-1"
"Cell_6384",0,"TAL-1"
"Cell_6385",0.268572518073311,"PT-1"
"Cell_6386",0,"TAL-2"
"Cell_6387",0,"PT-1"
"Cell_6388",0,"PT-1"
"Cell_6389",0.190088593516508,"PT-1"
"Cell_6390",0.206496419772607,"PT-1"
"Cell_6391",0.385610157824024,"PT-1"
"Cell_6392",0,"DCT/CNT"
"Cell_6393",0,"DCT/CNT"
"Cell_6394",0.00444912832108402,"EC-2"
"Cell_6395",0,"TAL-2"
"Cell_6396",0,"PT-1"
"Cell_6397",0,"PT-1"
"Cell_6398",0.242922712118059,"PT-1"
"Cell_6399",0.272609834005238,"PT-1"
"Cell_6400",0,"PT-1"
"Cell_6401",0.140541364462363,"PT-1"
"Cell_6402",0.204253991406158,"PT-1"
"Cell_6403",0,"TAL-1"
"Cell_6404",0,"TAL-1"
"Cell_6405",0,"TAL-1"
"Cell_6406",0,"PT-1"
"Cell_6407",0.222663505235609,"PT-1"
"Cell_6408",0.0147632778329851,"EC-3"
"Cell_6409",0,"EC-5"
"Cell_6410",0.118927975015805,"PC_CNT"
"Cell_6411",0,"PT-1"
"Cell_6412",0.15856786047457,"PT-2"
"Cell_6413",0.0598513446088392,"TAL-1"
"Cell_6414",0.18452595647783,"PT-1"
"Cell_6415",0,"DCT/CNT"
"Cell_6416",0,"PT-1"
"Cell_6417",0,"PT-1"
"Cell_6418",0,"PC_CNT"
"Cell_6419",0,"PT-1"
"Cell_6420",0.132008549868735,"PT-2"
"Cell_6421",0.0772549588849373,"PODO"
"Cell_6422",0,"PT-1"
"Cell_6423",0.0242772362784688,"IC-A"
"Cell_6424",0.0478055435762122,"EC-4"
"Cell_6425",0,"TAL-2"
"Cell_6426",0,"PC_CNT"
"Cell_6427",0,"TAL-2"
"Cell_6428",0,"TAL-1"
"Cell_6429",0.0452284443374186,"PODO"
"Cell_6430",0.147013389471633,"PT-2"
"Cell_6431",0.225460543158842,"PT-1"
"Cell_6432",0.257360592451997,"PT-1"
"Cell_6433",0.0797915496773899,"IMM"
"Cell_6434",0.16780209687155,"PT-1"
"Cell_6435",0.2854051674018,"PT-1"
"Cell_6436",0,"TAL-2"
"Cell_6437",0.0871018781116864,"EC-2"
"Cell_6438",0,"PT-1"
"Cell_6439",0,"PT-1"
"Cell_6440",0,"PT-1"
"Cell_6441",0.163455855709466,"PT-2"
"Cell_6442",0.0637521490885186,"PODO"
"Cell_6443",0.279476620318686,"PT-1"
"Cell_6444",0.15228644331801,"PT-2"
"Cell_6445",0.25844248192544,"PT-1"
"Cell_6446",0,"PT-1"
"Cell_6447",0.0427130774320332,"IC-B"
"Cell_6448",0,"PT-2"
"Cell_6449",0,"TAL-2"
"Cell_6450",0,"DCT/CNT"
"Cell_6451",0,"PT-1"
"Cell_6452",0,"PT-1"
"Cell_6453",0.123148300915358,"IMM"
"Cell_6454",0,"TAL-1"
"Cell_6455",0,"TAL-1"
"Cell_6456",0.0205864357043878,"EC-2"
"Cell_6457",0.214751708302118,"PT-1"
"Cell_6458",0.0933309178259961,"EC-3"
"Cell_6459",0,"DCT/CNT"
"Cell_6460",0,"DCT/CNT"
"Cell_6461",0,"TAL-1"
"Cell_6462",0,"PT-1"
"Cell_6463",0.0876802850749443,"PT-1"
"Cell_6464",0.299263202629813,"PT-1"
"Cell_6465",0,"PT-1"
"Cell_6466",0.177052593609908,"PT-2"
"Cell_6467",0.163942392011228,"PT-2"
"Cell_6468",0,"PT-1"
"Cell_6469",0,"TAL-1"
"Cell_6470",0.0783946751529676,"PECs?"
"Cell_6471",0,"PT-1"
"Cell_6472",0,"PC_CNT"
"Cell_6473",0,"PT-1"
"Cell_6474",0.160614429326214,"PT-1"
"Cell_6475",0,"PT-1"
"Cell_6476",0.355886539884938,"PT-1"
"Cell_6477",-0.00532742799183561,"EC-1(gEC)"
"Cell_6478",0.234869618002014,"PT-1"
"Cell_6479",0.161712911331357,"PT-1"
"Cell_6480",0.222696295489804,"PT-1"
"Cell_6481",0,"PT-1"
"Cell_6482",0,"DCT/CNT"
"Cell_6483",0.242295764663129,"PT-1"
"Cell_6484",0,"PT-1"
"Cell_6485",0.213823968852434,"PT-1"
"Cell_6486",0,"PT-1"
"Cell_6487",0.0930706286133458,"PC_CNT"
"Cell_6488",0,"PT-1"
"Cell_6489",0.151017557377572,"PT-1"
"Cell_6490",0,"PT-1"
"Cell_6491",0,"PT-1"
"Cell_6492",0.119549466913685,"PT-2"
"Cell_6493",0.0575824498783785,"EC-3"
"Cell_6494",0.298434948444712,"PT-1"
"Cell_6495",0,"PT-1"
"Cell_6496",0,"TAL-1"
"Cell_6497",0.301908591916234,"PT-1"
"Cell_6498",0.129236929935177,"PT-1"
"Cell_6499",0,"PT-1"
"Cell_6500",0,"PT-1"
"Cell_6501",0,"PT-1"
"Cell_6502",0,"PT-1"
"Cell_6503",0.0401986424583158,"EC-2"
"Cell_6504",0.0670791799538671,"FIB"
"Cell_6505",0.0805203842971342,"IC-A"
"Cell_6506",0,"PT-1"
"Cell_6507",0.0236451800558199,"EC-2"
"Cell_6508",0,"PT-1"
"Cell_6509",0.22334585861355,"PT-1"
"Cell_6510",0,"PT-1"
"Cell_6511",0.0339846305071045,"EC-2"
"Cell_6512",0.0622904835280254,"PECs?"
"Cell_6513",0.0829034725907973,"PT-1"
"Cell_6514",0.344901905797983,"PT-1"
"Cell_6515",0,"PT-1"
"Cell_6516",0,"TAL-2"
"Cell_6517",0,"TAL-1"
"Cell_6518",0,"PT-1"
"Cell_6519",0.180862822926453,"ADIPO"
"Cell_6520",0,"TAL-1"
"Cell_6521",0.0532604421224712,"EC-2"
"Cell_6522",0,"PC_CNT"
"Cell_6523",0,"DCT/CNT"
"Cell_6524",0.182288407555342,"PT-1"
"Cell_6525",0,"DCT/CNT"
"Cell_6526",0,"PT-1"
"Cell_6527",0.152355058480115,"PT-1"
"Cell_6528",0,"PT-1"
"Cell_6529",0.0818010624200479,"IC-A"
"Cell_6530",0.196831109130076,"PT-2"
"Cell_6531",0.151437944934007,"PT-2"
"Cell_6532",0,"DCT/CNT"
"Cell_6533",0,"PT-1"
"Cell_6534",-0.0118033058327495,"EC-4"
"Cell_6535",0,"TAL-2"
"Cell_6536",0.206774738962592,"PT-1"
"Cell_6537",0,"PT-1"
"Cell_6538",0.223334227206456,"PT-1"
"Cell_6539",0,"TAL-2"
"Cell_6540",0.238793202771533,"PT-1"
"Cell_6541",0.0304577250853279,"PODO"
"Cell_6542",0.206753734607622,"PT-1"
"Cell_6543",0.100196573630823,"EC-2"
"Cell_6544",0.146238470465552,"PT-1"
"Cell_6545",0,"DCT/CNT"
"Cell_6546",0,"PT-1"
"Cell_6547",0.267824549170284,"PT-1"
"Cell_6548",0,"PT-1"
"Cell_6549",0.165789921273149,"PT-1"
"Cell_6550",0.0531562055639803,"EC-2"
"Cell_6551",0.194901852082357,"PT-1"
"Cell_6552",0.225759543209147,"PT-1"
"Cell_6553",0.160436864774565,"PT-1"
"Cell_6554",0,"TAL-2"
"Cell_6555",0.214150762254072,"PT-1"
"Cell_6556",0,"PT-1"
"Cell_6557",0.00938607370884703,"EC-2"
"Cell_6558",0.168404348810911,"PT-2"
"Cell_6559",0,"PC_CNT"
"Cell_6560",0,"TAL-2"
"Cell_6561",0,"TAL-1"
"Cell_6562",0.0900541474863922,"vSMC/MC"
"Cell_6563",0.217721060254486,"PT-1"
"Cell_6564",0.0281619853502775,"EC-4"
"Cell_6565",0.0888424628495353,"EC-3"
"Cell_6566",0,"PT-1"
"Cell_6567",0.0733582423501869,"FIB"
"Cell_6568",-0.0456530149662484,"EC-2"
"Cell_6569",0.138933760832305,"PT-2"
"Cell_6570",0.210000763472612,"PT-2"
"Cell_6571",0.195064980851949,"PT-1"
"Cell_6572",0,"PT-1"
"Cell_6573",0,"PT-1"
"Cell_6574",0,"PT-1"
"Cell_6575",0,"PT-1"
"Cell_6576",0.329058033378059,"PT-1"
"Cell_6577",0.0945388442276071,"EC-3"
"Cell_6578",0,"DCT/CNT"
"Cell_6579",0,"DCT/CNT"
"Cell_6580",0.145789905182429,"PT-2"
"Cell_6581",0,"PT-1"
"Cell_6582",0,"TAL-2"
"Cell_6583",0,"PT-1"
"Cell_6584",0,"PT-1"
"Cell_6585",0.326516117935784,"PT-1"
"Cell_6586",0,"TAL-1"
"Cell_6587",0,"DCT/CNT"
"Cell_6588",0,"IC-A"
"Cell_6589",0.273861006172204,"PT-1"
"Cell_6590",0.0253664141365786,"EC-2"
"Cell_6591",0.262708692956097,"PT-1"
"Cell_6592",0,"PT-1"
"Cell_6593",0,"PT-2"
"Cell_6594",0,"PT-1"
"Cell_6595",0,"DCT/CNT"
"Cell_6596",0,"PT-1"
"Cell_6597",0.0925642614899598,"FIB"
"Cell_6598",0,"PT-1"
"Cell_6599",0,"PT-1"
"Cell_6600",0,"PT-1"
"Cell_6601",0,"PT-1"
"Cell_6602",0.0879394883696978,"EC-3"
"Cell_6603",0,"PT-1"
"Cell_6604",0,"PT-1"
"Cell_6605",0,"PT-1"
"Cell_6606",0.269521887085308,"PT-1"
"Cell_6607",0.150778556794721,"PT-2"
"Cell_6608",0.208734028156222,"PT-1"
"Cell_6609",0.0625903821190939,"FIB"
"Cell_6610",0.243824763429927,"PT-1"
"Cell_6611",0.0605574962657855,"TAL-1"
"Cell_6612",0,"TAL-1"
"Cell_6613",0,"PT-1"
"Cell_6614",0.123937611390739,"PT-2"
"Cell_6615",0.178180885281721,"PT-1"
"Cell_6616",0,"PT-1"
"Cell_6617",0.289140665645287,"PT-1"
"Cell_6618",0,"PT-1"
"Cell_6619",0,"PT-1"
"Cell_6620",0,"PT-2"
"Cell_6621",0.0902681376931153,"EC-3"
"Cell_6622",0,"PT-1"
"Cell_6623",0,"TAL-1"
"Cell_6624",0,"PT-1"
"Cell_6625",0.0871295076838906,"EC-2"
"Cell_6626",0.00717661656976309,"EC-2"
"Cell_6627",0,"TAL-2"
"Cell_6628",0,"PT-1"
"Cell_6629",0.0554324628675637,"EC-2"
"Cell_6630",0.187046481849958,"PT-1"
"Cell_6631",0,"PT-1"
"Cell_6632",0,"PT-2"
"Cell_6633",0,"PT-1"
"Cell_6634",0,"TAL-2"
"Cell_6635",0,"PC_CNT"
"Cell_6636",0.0764467816027936,"FIB"
"Cell_6637",0.0475191188565194,"PODO"
"Cell_6638",0.186720594601923,"PT-1"
"Cell_6639",0,"PT-1"
"Cell_6640",0.0463639578652549,"PODO"
"Cell_6641",0,"TAL-2"
"Cell_6642",0,"PT-1"
"Cell_6643",0.193966583743627,"PT-1"
"Cell_6644",0.0924971009983114,"IMM"
"Cell_6645",0.13088928322363,"PT-1"
"Cell_6646",0.0816331197526124,"EC-2"
"Cell_6647",0.231894070640673,"PT-1"
"Cell_6648",0,"TAL-2"
"Cell_6649",0,"PT-1"
"Cell_6650",0,"PT-1"
"Cell_6651",0,"PT-1"
"Cell_6652",0,"PT-1"
"Cell_6653",0.137762088396291,"PT-2"
"Cell_6654",0.0360666776851319,"EC-1(gEC)"
"Cell_6655",0.171187598967883,"PT-1"
"Cell_6656",0,"PT-1"
"Cell_6657",0,"PC_CNT"
"Cell_6658",0.0323206578169644,"IC-B"
"Cell_6659",0,"PT-1"
"Cell_6660",0.0940839064885548,"FIB"
"Cell_6661",0.205756643960809,"PT-1"
"Cell_6662",0,"PT-1"
"Cell_6663",0,"PT-1"
"Cell_6664",0,"FIB"
"Cell_6665",0,"PT-1"
"Cell_6666",0,"DCT/CNT"
"Cell_6667",0,"TAL-1"
"Cell_6668",0,"PT-1"
"Cell_6669",0,"PT-1"
"Cell_6670",0,"PT-1"
"Cell_6671",0.125397147659221,"PT-2"
"Cell_6672",0,"PT-1"
"Cell_6673",0,"PT-1"
"Cell_6674",0,"PT-1"
"Cell_6675",0.158544259305043,"PT-1"
"Cell_6676",0,"DCT/CNT"
"Cell_6677",0.222028456320252,"PT-1"
"Cell_6678",0.2348329255564,"PT-1"
"Cell_6679",0,"DCT/CNT"
"Cell_6680",0.134877108777415,"PT-1"
"Cell_6681",0,"PT-1"
"Cell_6682",0,"TAL-1"
"Cell_6683",0.18534916090065,"PT-2"
"Cell_6684",0,"PT-1"
"Cell_6685",0,"PT-1"
"Cell_6686",0,"PT-1"
"Cell_6687",0,"PT-1"
"Cell_6688",0,"PT-1"
"Cell_6689",0,"PT-1"
"Cell_6690",0,"PT-1"
"Cell_6691",0,"PT-1"
"Cell_6692",0.180003813244595,"PT-1"
"Cell_6693",0.11591611161309,"EC-2"
"Cell_6694",0.318821902504625,"PT-1"
"Cell_6695",0,"PT-1"
"Cell_6696",0,"PT-1"
"Cell_6697",0,"PT-1"
"Cell_6698",0.212997583288491,"PT-1"
"Cell_6699",0.153420915650183,"PT-1"
"Cell_6700",0,"PT-1"
"Cell_6701",0.344893317301035,"PT-1"
"Cell_6702",0,"PT-1"
"Cell_6703",0,"PT-1"
"Cell_6704",0,"PT-1"
"Cell_6705",0,"TAL-2"
"Cell_6706",0,"PT-1"
"Cell_6707",0,"PT-1"
"Cell_6708",0,"PT-1"
"Cell_6709",-0.00418875434969385,"EC-2"
"Cell_6710",0.0774099478047292,"EC-3"
"Cell_6711",0,"TAL-2"
"Cell_6712",0,"PT-1"
"Cell_6713",0,"PT-1"
"Cell_6714",0,"PT-1"
"Cell_6715",0,"PT-1"
"Cell_6716",0,"PT-1"
"Cell_6717",0.0662875232577084,"PC_CNT"
"Cell_6718",0,"TAL-2"
"Cell_6719",0.199826684071653,"PT-1"
"Cell_6720",0,"PT-1"
"Cell_6721",0,"PT-1"
"Cell_6722",0,"TAL-1"
"Cell_6723",0,"PT-1"
"Cell_6724",0.208961112697303,"PT-1"
"Cell_6725",0.230526269371113,"PT-1"
"Cell_6726",0,"TAL-1"
"Cell_6727",0,"TAL-1"
"Cell_6728",0.137269123384824,"IC-A"
"Cell_6729",0,"PT-1"
"Cell_6730",0,"PT-1"
"Cell_6731",0,"TAL-2"
"Cell_6732",0.0503221469962608,"EC-2"
"Cell_6733",0.142682383644306,"PT-2"
"Cell_6734",0.145097176021339,"FIB"
"Cell_6735",0.0486795960032194,"EC-3"
"Cell_6736",0.270374112350478,"PT-1"
"Cell_6737",0.333894154731064,"PT-1"
"Cell_6738",0.220291230837552,"PT-1"
"Cell_6739",0,"PT-1"
"Cell_6740",0,"DCT/CNT"
"Cell_6741",0,"PT-1"
"Cell_6742",0,"PT-1"
"Cell_6743",0,"PT-1"
"Cell_6744",0,"PT-1"
"Cell_6745",0.101501667448144,"PT-2"
"Cell_6746",0,"PT-1"
"Cell_6747",0,"PT-1"
"Cell_6748",0,"PT-1"
"Cell_6749",0.105160728935839,"EC-2"
"Cell_6750",0,"IC-B"
"Cell_6751",0,"TAL-1"
"Cell_6752",0,"PT-1"
"Cell_6753",0.156782634525088,"PT-2"
"Cell_6754",0,"PT-1"
"Cell_6755",0,"PT-1"
"Cell_6756",0,"PT-1"
"Cell_6757",0,"TAL-1"
"Cell_6758",0,"PT-1"
"Cell_6759",0,"PT-1"
"Cell_6760",0,"PT-1"
"Cell_6761",0.110489666621664,"PT-2"
"Cell_6762",0,"PT-1"
"Cell_6763",0,"PT-1"
"Cell_6764",0.201858310972559,"PT-1"
"Cell_6765",0.141133188822249,"PT-2"
"Cell_6766",0.231920652735876,"PT-1"
"Cell_6767",0,"PT-1"
"Cell_6768",0,"EC-2"
"Cell_6769",0,"PT-1"
"Cell_6770",0,"PT-1"
"Cell_6771",0,"PT-1"
"Cell_6772",0,"PT-1"
"Cell_6773",0,"PT-1"
"Cell_6774",0,"PT-1"
"Cell_6775",0,"PT-1"
"Cell_6776",0.0568071872531579,"EC-2"
"Cell_6777",0.207870028357058,"PT-1"
"Cell_6778",0,"PT-1"
"Cell_6779",0,"TAL-2"
"Cell_6780",0.247538201633962,"PT-1"
"Cell_6781",0,"TAL-2"
"Cell_6782",0.0937453802917449,"EC-2"
"Cell_6783",0,"PT-1"
"Cell_6784",0,"PT-1"
"Cell_6785",0,"PT-1"
"Cell_6786",0.19090327828927,"PT-2"
"Cell_6787",0.235696958093254,"PT-1"
"Cell_6788",0.204173711804377,"PT-1"
"Cell_6789",0.208629007186831,"PT-1"
"Cell_6790",0.179843906828673,"PT-1"
"Cell_6791",0.0158722517198347,"FIB"
"Cell_6792",0,"TAL-2"
"Cell_6793",0.211141780311725,"PT-1"
"Cell_6794",0,"TAL-2"
"Cell_6795",0.124624251333975,"PT-2"
"Cell_6796",0,"PT-1"
"Cell_6797",0.215365063467057,"PT-2"
"Cell_6798",0,"PT-1"
"Cell_6799",0,"PT-1"
"Cell_6800",0.0177189285649531,"EC-2"
"Cell_6801",0,"PT-1"
"Cell_6802",0,"PT-1"
"Cell_6803",0,"PT-1"
"Cell_6804",0.158563062704552,"PT-1"
"Cell_6805",0,"PT-1"
"Cell_6806",0,"PT-1"
"Cell_6807",0.160197797769042,"PT-2"
"Cell_6808",0,"PT-1"
"Cell_6809",0.142217080384651,"PT-2"
"Cell_6810",0,"DCT/CNT"
"Cell_6811",0.117766271429754,"FIB"
"Cell_6812",0,"PT-1"
"Cell_6813",0.138744729573472,"PT-2"
"Cell_6814",0,"TAL-2"
"Cell_6815",0.136504150785272,"EC-2"
"Cell_6816",0,"DCT/CNT"
"Cell_6817",0,"TAL-2"
"Cell_6818",0,"PT-1"
"Cell_6819",0,"PT-1"
"Cell_6820",0.153482540842976,"PT-1"
"Cell_6821",0,"PT-1"
"Cell_6822",0,"TAL-1"
"Cell_6823",0.288669345457127,"PT-1"
"Cell_6824",0.319095001815833,"PT-1"
"Cell_6825",0,"PT-1"
"Cell_6826",0,"TAL-2"
"Cell_6827",0,"PT-1"
"Cell_6828",0.147684697639012,"PT-1"
"Cell_6829",0,"PT-1"
"Cell_6830",0.171312978264165,"PT-1"
"Cell_6831",0.118975386645203,"EC-3"
"Cell_6832",0,"TAL-1"
"Cell_6833",0.172285300830555,"PT-2"
"Cell_6834",0,"TAL-2"
"Cell_6835",0,"PT-1"
"Cell_6836",0,"PT-1"
"Cell_6837",0.150397004561267,"PT-2"
"Cell_6838",0,"PT-1"
"Cell_6839",0,"PT-1"
"Cell_6840",0,"PT-1"
"Cell_6841",0.0526481972630256,"TAL-1"
"Cell_6842",0,"TAL-2"
"Cell_6843",0,"TAL-1"
"Cell_6844",-0.00586450207172912,"EC-2"
"Cell_6845",0.307961485882265,"PT-1"
"Cell_6846",0,"PT-1"
"Cell_6847",0.178317994239024,"PT-2"
"Cell_6848",0.0306976190857245,"FIB"
"Cell_6849",0.0400272677917465,"IC-B"
"Cell_6850",0,"TAL-1"
"Cell_6851",0,"PT-1"
"Cell_6852",0.0902305207868583,"EC-2"
"Cell_6853",0.147047244576188,"PT-2"
"Cell_6854",0.131677797962902,"PT-2"
"Cell_6855",0.205313615474147,"PT-1"
