"","Aged1","celltype"
"Cell_170",0,"TAL-1"
"Cell_171",0,"PT-1"
"Cell_172",0,"PT-1"
"Cell_173",0.253002111081417,"PT-1"
"Cell_174",0,"PT-1"
"Cell_175",0,"PT-1"
"Cell_176",0,"PT-1"
"Cell_177",0.18955734246698,"PT-2"
"Cell_178",0.0400641494734666,"EC-2"
"Cell_179",0.0627443626225607,"vSMC/MC"
"Cell_180",0,"PT-1"
"Cell_181",0,"TAL-1"
"Cell_182",0,"PT-1"
"Cell_183",0,"TAL-1"
"Cell_184",0,"TAL-1"
"Cell_185",0,"PT-1"
"Cell_186",0,"PC_CNT"
"Cell_187",-0.00502800108362883,"EC-2"
"Cell_188",0,"PT-1"
"Cell_189",0,"TAL-2"
"Cell_190",0.109693693116363,"IMM"
"Cell_191",0,"TAL-1"
"Cell_192",0,"PT-1"
"Cell_193",0.0966191745030278,"FIB"
"Cell_194",0.321643953443963,"PT-1"
"Cell_195",0,"PT-1"
"Cell_196",0,"PT-1"
"Cell_197",0.0936398612924912,"EC-2"
"Cell_198",0.225059122887881,"PT-1"
"Cell_199",0,"PT-1"
"Cell_200",0.058405542836704,"PODO"
"Cell_201",0.121831456202575,"PODO"
"Cell_202",0.228510325165426,"PT-1"
"Cell_203",0,"PT-1"
"Cell_204",0,"PT-1"
"Cell_205",0.284236344484316,"PT-1"
"Cell_206",0,"PT-1"
"Cell_207",0.0655020373456329,"FIB"
"Cell_208",0,"PT-1"
"Cell_209",0,"PT-1"
"Cell_210",0,"PT-1"
"Cell_211",0.00643668203244102,"EC-1(gEC)"
"Cell_212",0,"vSMC/MC"
"Cell_213",0.178454247608723,"FIB"
"Cell_214",0,"TAL-1"
"Cell_215",0.109390300974769,"FIB"
"Cell_216",0,"PT-2"
"Cell_217",0,"PC_CNT"
"Cell_218",0,"PT-1"
"Cell_219",0,"PT-1"
"Cell_220",0.177929969351344,"PT-2"
"Cell_221",0.0801376544403748,"FIB"
"Cell_222",0.0940486496072176,"TAL-1"
"Cell_223",0.080842028389054,"EC-2"
"Cell_224",0,"PT-1"
"Cell_225",-0.00986300951011465,"IC-B"
"Cell_226",0.244471374567366,"PT-1"
"Cell_227",0,"PT-1"
"Cell_228",0,"PT-1"
"Cell_229",0,"DCT/CNT"
"Cell_230",0,"PT-1"
"Cell_231",0,"TAL-1"
"Cell_232",0,"TAL-1"
"Cell_233",0,"PT-1"
"Cell_234",0.169384359592245,"PT-1"
"Cell_235",0.188795310635904,"PT-2"
"Cell_236",0,"PT-1"
"Cell_237",0,"PT-1"
"Cell_238",0.0917355393432097,"FIB"
"Cell_239",0,"PT-1"
"Cell_240",0.19939678891823,"PT-1"
"Cell_241",0,"PC_CNT"
"Cell_242",0.105255016280014,"FIB"
"Cell_243",0,"PT-1"
"Cell_244",0,"PT-1"
"Cell_245",0,"TAL-1"
"Cell_246",0,"PT-1"
"Cell_247",0,"PT-1"
"Cell_248",0,"TAL-1"
"Cell_249",0,"PT-1"
"Cell_250",0.12900998089356,"EC-2"
"Cell_251",0,"PT-1"
"Cell_252",0,"PT-1"
"Cell_253",0.179451436483832,"PT-1"
"Cell_254",0.133109745696391,"PT-2"
"Cell_255",0,"PT-1"
"Cell_256",0.150717666738071,"PT-2"
"Cell_257",0.0293870025151002,"EC-2"
"Cell_258",0.200856607327632,"PT-1"
"Cell_259",0,"PT-1"
"Cell_260",0.196787003723572,"PT-1"
"Cell_261",0.110002053567449,"FIB"
"Cell_262",0.202093047242592,"PT-1"
"Cell_263",0,"PT-1"
"Cell_264",0.227527776274963,"PT-1"
"Cell_265",0,"TAL-1"
"Cell_266",0,"PT-1"
"Cell_267",0,"DCT/CNT"
"Cell_268",0,"PT-1"
"Cell_269",0,"PT-1"
"Cell_270",0.183011444460394,"PT-2"
"Cell_271",0,"PT-1"
"Cell_272",0,"IC-B"
"Cell_273",0.1325665294048,"FIB"
"Cell_274",0,"PT-1"
"Cell_275",0,"PT-1"
"Cell_276",0.224206073119931,"PT-1"
"Cell_277",0.0526241935494093,"PODO"
"Cell_278",0,"PT-1"
"Cell_279",0.249892493619002,"PT-1"
"Cell_280",-0.0439199171279964,"EC-1(gEC)"
"Cell_281",0,"TAL-2"
"Cell_282",0,"DCT/CNT"
"Cell_283",-0.00398766882767165,"EC-2"
"Cell_284",0.252471289946837,"PT-1"
"Cell_285",0.0900349109754334,"PT-2"
"Cell_286",0,"PT-1"
"Cell_287",0,"PT-1"
"Cell_288",0,"PT-1"
"Cell_289",0,"PT-1"
"Cell_290",0,"PT-1"
"Cell_291",0.124022314182835,"EC-2"
"Cell_292",0,"PT-1"
"Cell_293",0.00683348132280925,"EC-3"
"Cell_294",0,"PT-1"
"Cell_295",0,"PT-1"
"Cell_296",0,"TAL-2"
"Cell_297",0,"PT-1"
"Cell_298",0,"PT-1"
"Cell_299",0.0787412749124164,"EC-3"
"Cell_300",0,"PT-1"
"Cell_301",0,"PT-1"
"Cell_302",0.0233369912494961,"PODO"
"Cell_303",0.163887816434547,"PT-2"
"Cell_304",0.211433636578519,"PT-1"
"Cell_305",0.220653134521074,"PT-1"
"Cell_306",0.108122854338768,"FIB"
"Cell_307",0,"TAL-2"
"Cell_308",0.00101550472804895,"EC-2"
"Cell_309",0.151645037316171,"PT-2"
"Cell_310",0,"PT-1"
"Cell_311",0.0828635717349069,"EC-2"
"Cell_312",0.237934426696546,"PT-2"
"Cell_313",0.0864242833460446,"FIB"
"Cell_314",0.13286153107905,"PT-1"
"Cell_315",0,"PT-1"
"Cell_316",0,"PT-1"
"Cell_317",0,"PT-1"
"Cell_318",0,"PT-1"
"Cell_319",0,"TAL-2"
"Cell_320",0.253849006756785,"PT-1"
"Cell_321",0.122665189077152,"PT-2"
"Cell_322",0,"PT-1"
"Cell_323",0,"TAL-2"
"Cell_324",0,"PT-1"
"Cell_325",0.0138559946668539,"vSMC/MC"
"Cell_326",0,"PT-1"
"Cell_327",0,"PT-1"
"Cell_328",0,"TAL-2"
"Cell_329",0.236842943511468,"PT-1"
"Cell_330",0.21018291393,"PT-1"
"Cell_331",0,"TAL-1"
"Cell_332",0,"PT-1"
"Cell_333",0,"PT-1"
"Cell_334",0,"PT-1"
"Cell_335",0,"PT-1"
"Cell_336",0,"PT-1"
"Cell_337",0.0162333457860002,"EC-3"
"Cell_338",0.113275966524712,"IC-A"
"Cell_339",0,"DCT/CNT"
"Cell_340",0.232831268325734,"PT-1"
"Cell_341",0,"PT-1"
"Cell_342",0,"PT-1"
"Cell_343",0.0628130426308495,"FIB"
"Cell_344",0.187698808460066,"PT-1"
"Cell_345",0.200708194466876,"PT-1"
"Cell_346",0,"TAL-1"
"Cell_347",0,"IC-A"
"Cell_348",0.0206991653078414,"EC-2"
"Cell_349",0,"PT-1"
"Cell_350",0.106873010849097,"PC_CNT"
"Cell_351",0,"PT-1"
"Cell_352",0.242116747437939,"PT-1"
"Cell_353",-0.00851958250188029,"EC-2"
"Cell_354",0,"PT-1"
"Cell_355",0,"PT-1"
"Cell_356",0.0544982449383999,"vSMC/MC"
"Cell_357",0,"PT-1"
"Cell_358",0.0484349479037876,"vSMC/MC"
"Cell_359",0.118064541681338,"ADIPO"
"Cell_360",0,"TAL-1"
"Cell_361",0,"PT-1"
"Cell_362",0.247539626091039,"PT-2"
"Cell_363",0,"TAL-2"
"Cell_364",0.187337744850094,"TAL-2"
"Cell_365",0,"TAL-1"
"Cell_366",0.0935184716160066,"FIB"
"Cell_367",0,"PT-1"
"Cell_368",0,"vSMC/MC"
"Cell_369",0,"PT-1"
"Cell_370",0,"PT-1"
"Cell_371",0.225238848532045,"PT-2"
"Cell_372",0,"PT-1"
"Cell_373",0,"PC_CNT"
"Cell_374",0,"PT-1"
"Cell_375",0,"PT-1"
"Cell_376",0,"PT-1"
"Cell_377",0,"PT-1"
"Cell_378",0,"PT-1"
"Cell_379",0.23279127030148,"PT-1"
"Cell_380",0.101813910549957,"TAL-2"
"Cell_381",0,"FIB"
"Cell_382",0,"TAL-1"
"Cell_383",0,"PT-1"
"Cell_384",0,"PT-1"
"Cell_385",0.269905938897057,"PT-1"
"Cell_386",0,"PT-1"
"Cell_387",0.254275624338307,"PT-1"
"Cell_388",0,"TAL-2"
"Cell_389",0.175447077079191,"PT-2"
"Cell_390",0,"TAL-2"
"Cell_391",0,"IC-A"
"Cell_392",0.229770787412567,"PT-1"
"Cell_393",0.142401107593091,"PT-2"
"Cell_394",0,"PT-1"
"Cell_395",0.136093562813504,"PT-2"
"Cell_396",0.0679911862919021,"PODO"
"Cell_397",0,"PC_CNT"
"Cell_398",0.0597702095462178,"PODO"
"Cell_399",0,"PT-1"
"Cell_400",0.128087477569156,"PT-1"
"Cell_401",0.340134424072628,"PT-1"
"Cell_402",0.230664370836332,"PT-1"
"Cell_403",0,"IC-A"
"Cell_404",0,"DCT/CNT"
"Cell_405",0,"PC_CNT"
"Cell_406",0,"TAL-1"
"Cell_407",0,"PT-1"
"Cell_408",0,"PT-1"
"Cell_409",0.087674524545971,"EC-3"
"Cell_410",0,"PT-1"
"Cell_411",-0.00732050812952401,"EC-2"
"Cell_412",0,"PT-1"
"Cell_413",0.0283847885442474,"PODO"
"Cell_414",0,"PT-1"
"Cell_415",0,"TAL-1"
"Cell_416",0.0600097021280739,"IMM"
"Cell_417",0.0486963637156399,"PODO"
"Cell_418",0,"PT-1"
"Cell_419",0,"PT-1"
"Cell_420",0.239805181497797,"PT-1"
"Cell_421",0,"TAL-1"
"Cell_422",0,"PC_CNT"
"Cell_423",0,"TAL-1"
"Cell_424",0.186657630558495,"PT-1"
"Cell_425",0.169100994749504,"TAL-2"
"Cell_426",0.188694917430143,"PT-1"
"Cell_427",0,"PT-1"
"Cell_428",0.163136885545216,"PT-2"
"Cell_429",0,"PT-1"
"Cell_430",0,"PT-1"
"Cell_431",0,"PT-1"
"Cell_432",0.0514491771565317,"EC-2"
"Cell_433",0,"PT-1"
"Cell_434",0.174558672075208,"PT-1"
"Cell_435",0,"TAL-1"
"Cell_436",0,"PC_CNT"
"Cell_437",0.180222503582059,"PT-2"
"Cell_438",0.171386253169636,"PT-2"
"Cell_439",0,"TAL-2"
"Cell_440",0,"PT-1"
"Cell_441",0.171362621539404,"PT-1"
"Cell_442",0,"TAL-2"
"Cell_443",0,"PT-1"
"Cell_444",0,"PT-1"
"Cell_445",0,"TAL-1"
"Cell_446",0,"TAL-2"
"Cell_447",0,"DCT/CNT"
"Cell_448",0,"PT-1"
"Cell_449",0.15318705377911,"PT-2"
"Cell_450",0.173624666255653,"PT-2"
"Cell_451",0,"PT-1"
"Cell_452",0.0663270907169929,"EC-2"
"Cell_453",0,"TAL-1"
"Cell_454",0,"PT-1"
"Cell_455",0.278662240651713,"PT-1"
"Cell_456",0.0997878277989235,"FIB"
"Cell_457",0,"PT-1"
"Cell_458",0,"PT-1"
"Cell_459",0,"PT-1"
"Cell_460",0,"PT-1"
"Cell_461",0,"PT-1"
"Cell_462",0,"TAL-1"
"Cell_463",0,"PT-1"
"Cell_464",0,"PT-1"
"Cell_465",0,"TAL-2"
"Cell_466",0.347523577908114,"PT-1"
"Cell_467",0,"PT-1"
"Cell_468",0.188649427173585,"PT-1"
"Cell_469",0,"vSMC/MC"
"Cell_470",0,"PT-1"
"Cell_471",0,"PT-1"
"Cell_472",0,"TAL-1"
"Cell_473",0.029132936373041,"PODO"
"Cell_474",0,"PT-1"
"Cell_475",0,"PT-1"
"Cell_476",0,"TAL-2"
"Cell_477",0,"PT-1"
"Cell_478",0.133775696126473,"PT-2"
"Cell_479",0,"PT-1"
"Cell_480",0.194257987811499,"PT-1"
"Cell_481",0.231476023261209,"PT-1"
"Cell_482",0,"TAL-1"
"Cell_483",0,"TAL-1"
"Cell_484",0.149370011165854,"PT-1"
"Cell_485",0,"PT-1"
"Cell_486",0,"PT-1"
"Cell_487",0.205302927873205,"PT-1"
"Cell_488",0,"TAL-2"
"Cell_489",0.167360315667676,"PT-1"
"Cell_490",0,"PT-1"
"Cell_491",0.198096813400219,"PT-1"
"Cell_492",0,"TAL-2"
"Cell_493",0,"PT-1"
"Cell_494",0,"PT-1"
"Cell_495",-0.0160195728383073,"EC-2"
"Cell_496",0.214982247255371,"PT-1"
"Cell_497",0.0939651232135582,"FIB"
"Cell_498",0,"PT-1"
"Cell_499",0,"PT-1"
"Cell_500",0,"TAL-1"
"Cell_501",0,"IC-A"
"Cell_502",0,"PT-1"
"Cell_503",0.0633983427888198,"EC-2"
"Cell_504",0.192377754444314,"PT-1"
"Cell_505",0.0659055101113732,"PODO"
"Cell_506",0,"PT-1"
"Cell_507",0,"PT-1"
"Cell_508",0,"DCT/CNT"
"Cell_509",0,"PT-1"
"Cell_510",0.101360955017208,"EC-2"
"Cell_511",0,"PT-1"
"Cell_512",0,"TAL-1"
"Cell_513",0.0527706414488945,"PECs?"
"Cell_514",0.18490087797035,"PT-1"
"Cell_515",0,"PT-1"
"Cell_516",0,"PT-1"
"Cell_517",0.182388485704253,"PT-1"
"Cell_518",0.185818946000736,"PT-1"
"Cell_519",0.205374770747174,"PT-1"
"Cell_520",0,"PT-1"
"Cell_521",0,"PC_CNT"
"Cell_522",0,"PT-1"
"Cell_523",0.236056704094747,"PT-2"
"Cell_524",0,"TAL-1"
"Cell_525",0.198632898922182,"PT-1"
"Cell_526",0,"PT-1"
"Cell_527",0.162358015572452,"PT-1"
"Cell_528",0.313257178558222,"PT-1"
"Cell_529",0,"DCT/CNT"
"Cell_530",0,"PT-1"
"Cell_531",0.0723122828281509,"Undef"
"Cell_532",0.136839890207071,"PT-2"
"Cell_533",0,"PT-1"
"Cell_534",0,"TAL-2"
"Cell_535",0,"TAL-1"
"Cell_536",0,"TAL-1"
"Cell_537",0.190222212907386,"PT-1"
"Cell_538",0,"TAL-2"
"Cell_539",0,"PT-1"
"Cell_540",0.174266711136439,"PT-1"
"Cell_541",0.209721580443395,"PT-2"
"Cell_542",0.0925057882749001,"IC-A"
"Cell_543",0,"DCT/CNT"
"Cell_544",0,"DCT/CNT"
"Cell_545",0,"DCT/CNT"
"Cell_546",0.234496456100281,"PT-1"
"Cell_547",0,"IC-A"
"Cell_548",0,"PT-1"
"Cell_549",0,"PT-1"
"Cell_550",0,"PT-1"
"Cell_551",0,"TAL-2"
"Cell_552",0.105990216050847,"PT-2"
"Cell_553",0,"PT-1"
"Cell_554",0.022298107753658,"vSMC/MC"
"Cell_555",0.0285426987520755,"EC-2"
"Cell_556",0,"PT-1"
"Cell_557",0.293966898462132,"PT-1"
"Cell_558",0.229891783822828,"PT-1"
"Cell_559",0.222955823615053,"PT-1"
"Cell_560",0,"TAL-2"
"Cell_561",0,"PT-1"
"Cell_562",0.0478183982323671,"EC-2"
"Cell_563",0,"TAL-2"
"Cell_564",0,"IC-B"
"Cell_565",0.146842771445602,"PT-2"
"Cell_566",0.148948304762577,"PT-2"
"Cell_567",0.0053976702738609,"EC-3"
"Cell_568",0,"PT-1"
"Cell_569",0,"PT-1"
"Cell_570",0.129135686992911,"FIB"
"Cell_571",0,"PT-1"
"Cell_572",0,"PT-1"
"Cell_573",0.177149619655672,"PT-1"
"Cell_574",0,"TAL-2"
"Cell_575",0,"PT-1"
"Cell_576",0,"TAL-2"
"Cell_577",0.195391391751867,"PT-1"
"Cell_578",0,"PT-1"
"Cell_579",0,"DCT/CNT"
"Cell_580",0,"TAL-2"
"Cell_581",0,"PT-1"
"Cell_582",0,"PT-1"
"Cell_583",0,"PT-1"
"Cell_584",0.0240780183879875,"EC-5"
"Cell_585",0,"Undef"
"Cell_586",0,"PT-1"
"Cell_587",0.0630021492279668,"EC-2"
"Cell_588",0.238688223523463,"PT-1"
"Cell_589",0.24299015109344,"PT-1"
"Cell_590",0,"PT-1"
"Cell_591",0,"PT-1"
"Cell_592",0,"PT-1"
"Cell_593",0.0263272633831106,"EC-5"
"Cell_594",0.143096948734036,"PT-2"
"Cell_595",0,"PT-1"
"Cell_596",0.0223483742944437,"EC-2"
"Cell_597",0.13100740438633,"PT-2"
"Cell_598",0.143358083012821,"TAL-1"
"Cell_599",0,"PT-1"
"Cell_600",0.188894129766598,"PT-1"
"Cell_601",0,"PT-1"
"Cell_602",0.100307537494733,"FIB"
"Cell_603",0.150518857984228,"PT-2"
"Cell_604",0.0941876618273082,"FIB"
"Cell_605",0,"TAL-1"
"Cell_606",0,"PT-1"
"Cell_607",0.016600513045976,"FIB"
"Cell_608",0.0885917091004739,"vSMC/MC"
"Cell_609",0.131598674444975,"PT-2"
"Cell_610",0.0296030877357327,"vSMC/MC"
"Cell_611",-0.00614602006763426,"vSMC/MC"
"Cell_612",0.112480503622621,"FIB"
"Cell_613",0,"PT-1"
"Cell_614",0.239354081459155,"PT-1"
"Cell_615",0.152330512868661,"PT-1"
"Cell_616",0,"TAL-2"
"Cell_617",0.122662393906938,"PT-2"
"Cell_618",0.106971530828949,"PT-2"
"Cell_619",0.0358848476231148,"EC-2"
"Cell_620",0.239503399745025,"PT-1"
"Cell_621",0,"PT-1"
"Cell_622",0,"PT-1"
"Cell_623",0,"PT-1"
"Cell_624",0.0627988280015643,"PECs?"
"Cell_625",0.0620463465221291,"EC-2"
"Cell_626",0.104094138435701,"FIB"
"Cell_627",0,"PT-1"
"Cell_628",0.114281877102904,"IMM"
"Cell_629",0,"PT-1"
"Cell_630",0,"TAL-2"
"Cell_631",0.00290248012615757,"EC-2"
"Cell_632",0,"PT-1"
"Cell_633",0,"PT-1"
"Cell_634",0,"PT-1"
"Cell_635",0.110521623881076,"TAL-2"
"Cell_636",0,"TAL-2"
"Cell_637",0,"PT-1"
"Cell_638",0,"PT-1"
"Cell_639",0.401270268407293,"PT-1"
"Cell_640",0,"PT-1"
