"Gene","Symbol","LFC_Age","LFC_Combined","LFC_DR","LFC_sAct","Restoration_DR","Restoration_sAct","Restoration_Combined","Intervention_DR_Effect","Intervention_sAct_Effect","Intervention_Combined_Effect"
"ENSMUSG00000000194","Gpr107",-0.475373679492608,0.214683731562033,0.288359131870655,0.00574282442340482,0.606594652397324,0.0120806529076966,0.451610471558242,"Rescue","Rescue","Rescue"
"ENSMUSG00000000290","Itgb2",0.536663056226657,-0.131364374710811,-0.238303721413586,0.00134252664317341,0.444047188731656,0,0.244779984734649,"Rescue","Worsening","Rescue"
"ENSMUSG00000000441","Raf1",-0.355876705290907,0.26410593420254,0.565837392997746,0.000142898733364524,1.58998154300436,0.000401540003152814,0.742127625315206,"Rescue","Rescue","Rescue"
"ENSMUSG00000000827","Tpd52l2",0.340439221867076,-0.33305531564231,-0.293588648425107,-0.000204238081987848,0.862381974717761,0.000599925240304984,0.97831064768545,"Rescue","Rescue","Rescue"
"ENSMUSG00000001248","Gramd1a",0.496090362989336,-0.496229470899657,-0.44410523483971,0.000367735227554496,0.895210364828749,0,1.00028040841084,"Rescue","Worsening","Rescue"
"ENSMUSG00000001418","Glmp",0.425531189247162,-0.166864109681885,-0.138543324810595,-0.00050827781714972,0.325577368501947,0.00119445490716897,0.392131326441891,"Rescue","Rescue","Rescue"
"ENSMUSG00000001521","Tulp3",0.598464096381742,-0.308254126138594,-0.654714882950212,-0.000426514350869826,1.09399191515173,0.000712681601868002,0.515075387148986,"Rescue","Rescue","Rescue"
"ENSMUSG00000001552","Jup",0.466840002985574,-0.472392428707177,-0.235565015012422,0.000208551847203478,0.50459475089092,0,1.01189363740488,"Rescue","Worsening","Rescue"
"ENSMUSG00000001604","Tcea3",-0.556069714979618,0.131028850939086,0.197727569590084,-0.000518422252795563,0.355580540107874,0,0.235633855628855,"Rescue","Worsening","Rescue"
"ENSMUSG00000001911","Nfix",-0.341193241742959,0.0231755820991067,0.202659294422865,-3.51239741486754e-05,0.593972182413685,0,0.0679250913081281,"Rescue","Worsening","Rescue"
"ENSMUSG00000002076","Hsf2bp",0.648123434659896,-0.170941327782768,-0.161532290688539,0.00378485014634171,0.249230751505388,0,0.263748105131347,"Rescue","Worsening","Rescue"
"ENSMUSG00000002395","Use1",0.409779029758548,-0.0555412491970569,0.0356836819937775,-6.95553795701308e-05,0,0.000169738748249549,0.135539510720651,"Worsening","Rescue","Rescue"
"ENSMUSG00000002396","Ocel1",0.503370133523494,-0.206886079265473,-0.0478729399772383,-5.7814904808832e-05,0.0951048478822867,0.000114855651852323,0.411001895995121,"Rescue","Rescue","Rescue"
"ENSMUSG00000002603","Tgfb1",1.36777492718063,-1.30383849400274,-1.38903865654329,0.000151673857842031,1.01554621958636,0,0.953255150458356,"Rescue","Worsening","Rescue"
"ENSMUSG00000003038","Hmgn2",0.975494081291294,-0.562711260112953,-0.537219997633043,-2.43999618693053e-05,0.550715794115231,2.50129266156143e-05,0.576847436499127,"Rescue","Rescue","Rescue"
"ENSMUSG00000003154","Foxj2",-0.351546035723594,0.148882843554827,0.0908842295220132,-1.42859107281543e-05,0.258527249027128,0,0.423508810868479,"Rescue","Worsening","Rescue"
"ENSMUSG00000003198","Zfp959",-0.51117619971338,1.18957483447851,1.20961797593028,0.00128611174843197,2.366342518702,0.00251598519092458,2.32713266999816,"Rescue","Rescue","Rescue"
"ENSMUSG00000003344","Btbd2",-0.277185063066255,0.187871317861188,0.230446828900093,0.00233710746408846,0.83138256567963,0.00843157794375748,0.677782979295251,"Rescue","Rescue","Rescue"
"ENSMUSG00000003500","Impdh1",0.456040169455967,-0.26423479383853,-0.0291995091261792,0.000466306482267236,0.0640283709240192,0,0.579411226326288,"Rescue","Worsening","Rescue"
"ENSMUSG00000003762","Coq8b",0.559979591322223,-0.161039195374837,-0.035184193609735,0.000185263096914019,0.062831206984987,0,0.287580472342915,"Rescue","Worsening","Rescue"
"ENSMUSG00000003779","Kif20a",0.639945148131507,-0.561240966752633,-0.770138401129422,-0.00011960869711483,1.20344439422355,0.000186904608096584,0.877014175966999,"Rescue","Rescue","Rescue"
"ENSMUSG00000003873","Bax",0.657335812046626,-0.188329543969424,-0.288085686898219,-0.000159096195451625,0.438262576933485,0.000242031839032589,0.286504311065994,"Rescue","Rescue","Rescue"
"ENSMUSG00000004071","Cdip1",-0.376241946008803,0.130858449940388,0.208301094802366,-0.000372216062901027,0.553636023340928,0,0.347803989769196,"Rescue","Worsening","Rescue"
"ENSMUSG00000004383","Large1",-0.325320717974147,0.0839010525726219,0.165391602991207,0.000146021389633393,0.508395542777422,0.000448853643698762,0.257902580244795,"Rescue","Rescue","Rescue"
"ENSMUSG00000004455","Ppp1cc",-0.391227984497529,0.227253627250482,0.333987299237686,-0.000180147686144936,0.853689696218026,0,0.580872627356537,"Rescue","Worsening","Rescue"
"ENSMUSG00000004837","Grap",0.576455527503264,-0.839293195683526,-0.837351755783937,-0.00186061132891558,1.45258691405157,0.00322767540624379,1.45595480594776,"Rescue","Rescue","Rescue"
"ENSMUSG00000004951","Hspb1",0.420329528466966,-0.28390127526506,-0.578073008811667,-0.000296530897186824,1.37528526944092,0.000705472437942528,0.675425484144571,"Rescue","Rescue","Rescue"
"ENSMUSG00000005034","Prkacb",-0.326984687846294,0.158229614042671,-0.0857783332635219,0.000579101730181092,0,0.00177103623412883,0.483905271176032,"Worsening","Rescue","Rescue"
"ENSMUSG00000005142","Man2b1",0.396922760460932,-0.255898063843246,-0.37827396464945,0.000113276070331803,0.953016562240406,0,0.644704938427014,"Rescue","Worsening","Rescue"
"ENSMUSG00000005233","Spc25",1.51682057697215,-0.654703102606611,-0.519841098885659,0.00162837209634305,0.342717594142452,0,0.431628573969849,"Rescue","Worsening","Rescue"
"ENSMUSG00000005886","Ncoa2",-0.291421145195469,0.103396327611688,0.157255458976197,0.000813150239736192,0.539615815697652,0.00279029251357439,0.354800361320162,"Rescue","Rescue","Rescue"
"ENSMUSG00000006024","Napa",-0.460134977342936,0.202799408846233,0.253880689492744,0.000532955178128558,0.551752642145977,0.00115825834672714,0.440738954507011,"Rescue","Rescue","Rescue"
"ENSMUSG00000006134","Crkl",-0.303213604278165,0.0395614755374561,0.0811912173394654,7.26807049214893e-05,0.267769045299766,0.000239701332314934,0.130473946350913,"Rescue","Rescue","Rescue"
"ENSMUSG00000006398","Cdc20",0.884129570241313,-0.599013349901513,-0.414356520058026,0.00329142062542714,0.468660402281231,0,0.677517606088007,"Rescue","Worsening","Rescue"
"ENSMUSG00000006519","Cyba",0.446497628050133,-0.443513135349692,-0.428212965111489,0.000159931789081597,0.959048689645916,0,0.99331577031333,"Rescue","Worsening","Rescue"
"ENSMUSG00000006585","Cdt1",0.603248527423449,-0.170806938836294,-0.12967152230321,0.000592307664165401,0.214955389708208,0,0.283145223024136,"Rescue","Worsening","Rescue"
"ENSMUSG00000006638","Abhd1",0.496769710950279,-0.450683211917406,-0.532629936499579,-0.000442716713442962,1.07218681968492,0.000891191036176666,0.907227638849571,"Rescue","Rescue","Rescue"
"ENSMUSG00000007415","Gatad1",-0.27966592376886,0.0387506523110191,0.0902551920844814,-0.000849072919715211,0.32272502444408,0,0.138560507439748,"Rescue","Worsening","Rescue"
"ENSMUSG00000007613","Tgfbr1",0.375678423073929,-0.00603547785759941,0.103160798758008,0.00020988437050035,0,0,0.0160655429934332,"Worsening","Worsening","Rescue"
"ENSMUSG00000007656","Arpp19",0.397445353006388,-0.0120190351524907,0.0439572099812143,0.000427886141144911,0,0,0.030240723816684,"Worsening","Worsening","Rescue"
"ENSMUSG00000007850","Hnrnph1",-0.532381911912745,0.202164658997416,0.135933494272329,-5.2381325503759e-05,0.255330790229042,0,0.379736152701127,"Rescue","Worsening","Rescue"
"ENSMUSG00000008435","Rdh13",-0.329303125135943,0.326713155853827,0.0818521333947946,-0.000119211444294563,0.248561665975701,0,0.992134999383784,"Rescue","Worsening","Rescue"
"ENSMUSG00000009739","Pou6f1",-0.40928828419105,0.15557886678751,0.160645995185234,0.0068134631547418,0.392500839604408,0.0166471003884425,0.380120498916817,"Rescue","Rescue","Rescue"
"ENSMUSG00000010097","Nxf1",-0.429272469463391,0.0658596499324557,0.151322117209371,0.00109525474790939,0.352508320411346,0.00255142089423648,0.153421555346382,"Rescue","Rescue","Rescue"
"ENSMUSG00000010751","Tnfrsf22",1.28612965198484,-1.76575687768718,-0.937124734305788,-0.00143371110364836,0.728639397170849,0.00111474850256019,1.37292292029979,"Rescue","Rescue","Rescue"
"ENSMUSG00000014846","Tppp3",0.545954584812336,-0.975286486591428,-0.629458468793874,-0.055663756143964,1.15295023854455,0.101956751884587,1.78638757457576,"Rescue","Rescue","Rescue"
"ENSMUSG00000014956","Ppp1cb",-0.31845103581089,0.198943988530343,0.182164980173119,-0.000966423782096271,0.572034503543888,0,0.624723948608805,"Rescue","Worsening","Rescue"
"ENSMUSG00000015087","Rabl6",-0.310215986089295,0.0207937673402406,0.0993712765918309,-2.42297600984422e-05,0.320329322303936,0,0.0670299670960707,"Rescue","Worsening","Rescue"
"ENSMUSG00000015095","Fbxw5",-0.269823195701553,0.0306038914179752,0.225354503542176,0.00017885620233746,0.835193219605321,0.000662864443038063,0.113422018216053,"Rescue","Rescue","Rescue"
"ENSMUSG00000015950","Ncf1",0.6453247791596,-0.315546284561868,-0.34552847421508,0.0010186113837499,0.535433452075184,0,0.48897283159156,"Rescue","Worsening","Rescue"
"ENSMUSG00000016757","Ttll12",0.407775174463551,-0.817071472589433,-0.604462571892932,-0.000236093642041939,1.48234274606867,0.000578979930184648,2.00373029982596,"Rescue","Rescue","Rescue"
"ENSMUSG00000017418","Arl5b",-0.358174438639863,0.122980501842541,0.129167088765061,0.00290868434905301,0.360626205643156,0.00812085965737393,0.343353652788707,"Rescue","Rescue","Rescue"
"ENSMUSG00000017615","Tnfaip1",-0.265437147964502,0.0231585289060445,0.079263029554842,-0.00104469689027632,0.298613175143978,0,0.0872467515705134,"Rescue","Worsening","Rescue"
"ENSMUSG00000017716","Birc5",2.24744105976177,-0.522934345839986,-0.142071290899596,0.0048736998358636,0.0632146904509501,0,0.232679893236184,"Rescue","Worsening","Rescue"
"ENSMUSG00000018008","Cyth4",1.3678496501148,-1.21550522041306,-0.485167364533206,0.00103848405229784,0.354693488785474,0,0.8886248721203,"Rescue","Worsening","Rescue"
"ENSMUSG00000018042","Cyb5r3",0.840542210606814,-0.33027578933321,-0.312076709411348,-1.25287046378021e-05,0.371280234916519,1.49055032331538e-05,0.392931830389308,"Rescue","Rescue","Rescue"
"ENSMUSG00000018507","Trpv2",0.702716134587296,-0.330050444511851,-0.217717244432303,-0.000154878567207768,0.309822464173486,0.000220399902015524,0.469678193322954,"Rescue","Rescue","Rescue"
"ENSMUSG00000018547","Pip4k2b",-0.518949811773608,0.0788160002283077,0.191365808072741,0.00141204341453447,0.368755906122621,0.00272096334269503,0.151875958792507,"Rescue","Rescue","Rescue"
"ENSMUSG00000018661","Cog1",0.374226668043754,-0.206008267680217,-0.201735834924113,3.90786678830789e-05,0.539073914690993,0,0.550490612433134,"Rescue","Worsening","Rescue"
"ENSMUSG00000018736","Ndel1",-0.332312210729388,0.293611068579944,0.204722773815134,0.000125191246101255,0.616055526114404,0.00037672779410204,0.883539813163955,"Rescue","Rescue","Rescue"
"ENSMUSG00000018774","Cd68",1.56821778989009,-0.537675455286604,-0.362075766441298,-0.000648183191930049,0.230883598423325,0.000413324728305421,0.342857643085587,"Rescue","Rescue","Rescue"
"ENSMUSG00000019102","Aldh3a1",1.0692575979966,-0.375014796492498,-0.624382495376716,0.0449325421325241,0.583940199767186,0,0.350724462650665,"Rescue","Worsening","Rescue"
"ENSMUSG00000019478","Rab4a",-0.401231598964402,0.0511923671059593,0.23128209830826,0.000675226912310244,0.576430418005985,0.00168288568012349,0.127588074414102,"Rescue","Rescue","Rescue"
"ENSMUSG00000019578","Ubxn6",-0.330809085582442,0.220804562603156,0.181660227429563,0.00303923372575487,0.549139172250124,0.0091872740447978,0.667468253522707,"Rescue","Rescue","Rescue"
"ENSMUSG00000020091","Eif4ebp2",-0.473524712509534,0.0812087730273731,0.0505699617535323,0.000567974076644144,0.106794767870777,0.00119946026393017,0.171498489692316,"Rescue","Rescue","Rescue"
"ENSMUSG00000020101","Vsir",0.750965998543514,-1.13040897630772,-0.918403858034713,-0.00121896987576097,1.2229633030203,0.00162320248603151,1.50527317947834,"Rescue","Rescue","Rescue"
