"Gene","Symbol","LFC_Age","LFC_Combined","LFC_DR","LFC_sAct","Restoration_DR","Restoration_sAct","Restoration_Combined","Intervention_DR_Effect","Intervention_sAct_Effect","Intervention_Combined_Effect"
"ENSMUSG00000002395","Use1",0.409779029758548,-0.0555412491970569,0.0356836819937775,-6.95553795701308e-05,0,0.000169738748249549,0.135539510720651,"Worsening","Rescue","Rescue"
"ENSMUSG00000005034","Prkacb",-0.326984687846294,0.158229614042671,-0.0857783332635219,0.000579101730181092,0,0.00177103623412883,0.483905271176032,"Worsening","Rescue","Rescue"
"ENSMUSG00000020863","Luc7l3",-0.514108678838321,0.0946302911850915,-0.0157892979912031,1.54720224325913e-05,0,3.00948477811186e-05,0.184066706282644,"Worsening","Rescue","Rescue"
"ENSMUSG00000024726","Carnmt1",-0.451998991906706,0.0348097395127427,-0.171739241893122,0.000595133068701574,0,0.00131666901775837,0.0770128697984519,"Worsening","Rescue","Rescue"
"ENSMUSG00000028552","Eps15",-0.291963338594545,0.073101992929144,-0.0389454598856061,0.00172625435672861,0,0.00591257232856175,0.25038072684414,"Worsening","Rescue","Rescue"
"ENSMUSG00000031154","Otud5",0.378273803117074,-0.0513599730854497,0.0524861345400967,-0.000619442815396266,0,0.00163755145159907,0.135774596766232,"Worsening","Rescue","Rescue"
"ENSMUSG00000031392","Irak1",0.269990811565262,-0.0710036668811876,0.0196654067763303,-0.00018280916265928,0,0.000677094015160925,0.262985493726792,"Worsening","Rescue","Rescue"
"ENSMUSG00000036810","Cnep1r1",-0.374496985082311,0.076066239196744,-0.0416044380178046,0.00129296387717087,0,0.00345253480982413,0.203115758542156,"Worsening","Rescue","Rescue"
"ENSMUSG00000040717","Il17rd",-0.388658359345819,0.0480130953043841,-0.0932809496336686,6.96002831932847e-06,0,1.7907831266111e-05,0.123535475694383,"Worsening","Rescue","Rescue"
"ENSMUSG00000042997","Nhlrc3",0.451094531272667,-0.0718247413295134,0.0658935945959358,-0.0011334179678465,0,0.00251259523064668,0.159223258874088,"Worsening","Rescue","Rescue"
"ENSMUSG00000048047","Zbtb33",-0.378285793636144,0.100165532526925,-0.03778362769285,0.000612185677108875,0,0.00161831527222962,0.264787983614498,"Worsening","Rescue","Rescue"
"ENSMUSG00000051469","Zfp24",-0.401270673307279,0.0317993059830194,-0.000962184874601581,6.02921901022181e-05,0,0.000150253168529085,0.0792465238511677,"Worsening","Rescue","Rescue"
"ENSMUSG00000052684","Jun",0.399115686986986,-0.0537000067386043,0.130862687466845,-3.27854582916437e-05,0,8.21452510151843e-05,0.13454747204751,"Worsening","Rescue","Rescue"
"ENSMUSG00000052915","Msl1",-0.305270266541493,0.0549923193258399,-0.0171827798028023,0.000600067854040708,0,0.00196569374685283,0.180143057982246,"Worsening","Rescue","Rescue"
"ENSMUSG00000063273","Naa15",-0.323231547581439,0.0944929893669795,-0.0781345409320945,0.000187669831320441,0,0.000580604933907812,0.292338387369729,"Worsening","Rescue","Rescue"
"ENSMUSG00000063765","Chadl",-0.653904843388591,0.137959027802716,-0.0756482962265344,0.00361612540642921,0,0.00553004835946793,0.21097722275278,"Worsening","Rescue","Rescue"
"ENSMUSG00000067336","Bmpr2",-0.281574564636646,0.0831473365150055,-0.0336723796839908,0.000323858874598726,0,0.00115017091482196,0.295294202522525,"Worsening","Rescue","Rescue"
"ENSMUSG00000078768","Zfp566",-0.595228196631351,0.14183206364049,-0.0905644496995003,0.00389984798938297,0,0.00655185357725635,0.238281829461672,"Worsening","Rescue","Rescue"
"ENSMUSG00000091264","Smim13",-0.356480840526463,0.129813688600485,-0.120063702856044,0.000127638128820365,0,0.000358050459687721,0.364153339654305,"Worsening","Rescue","Rescue"
"ENSMUSG00000111000",NA,0.50235581904592,-0.276804073509824,0.0351539552377994,-0.00226779325196171,0,0.00451431667750704,0.551011977995065,"Worsening","Rescue","Rescue"
