"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",2135.37677668485,-0.171860544864075,0.0696134086310887,0.0118314473509635,0.0338778658743612
"ENSMUSG00000000028",37.9853492687888,0.306176201526358,0.337034823904434,0.19982197434938,0.333359169803102
"ENSMUSG00000000031",2.54399258347625,0.327720914172778,0.743793119595539,0.188879449585513,0.319495098894903
"ENSMUSG00000000037",10.329260939034,0.391083471142259,0.54077472311005,0.182049179258185,0.310716221253414
"ENSMUSG00000000049",108.561579540448,-1.44465069886206,0.710276066485519,0.00110577435980496,0.00433953161842164
"ENSMUSG00000000056",875.860659769932,-0.197379227100179,0.120442361926952,0.0825437475710405,0.167641437296071
"ENSMUSG00000000058",1524.0131899223,1.1573115769848,0.115631805320335,1.93986884372775e-24,9.52643245256819e-23
"ENSMUSG00000000078",2105.74156082698,1.3034553043903,0.13328398738363,2.18334728188299e-23,9.78031398409251e-22
"ENSMUSG00000000085",364.210046607852,0.18654535900998,0.175474098157354,0.231386518004292,0.370983188761578
"ENSMUSG00000000088",4760.30107272411,-0.174917715951122,0.0715682249620573,0.0126053901285538,0.0357899506447974
"ENSMUSG00000000093",1102.57377304696,-0.0683142468624325,0.139859444905049,0.598482987626078,0.728582053801181
"ENSMUSG00000000094",0.824154546331652,0.00162120111329909,0.68906471403541,0.993433750213344,NA
"ENSMUSG00000000120",19.0337955003326,0.410677106880464,0.406164175630145,0.123731943121048,0.230572905156425
"ENSMUSG00000000126",49.4310145787653,0.642384853516706,0.363816757769747,0.0145754750532479,0.0405442829837829
"ENSMUSG00000000127",146.143495600754,0.271271394100812,0.180609677216851,0.0882337061474694,0.176495400644795
"ENSMUSG00000000131",769.080357236854,-0.15509236447938,0.109274142140995,0.136835215630883,0.249443817463669
"ENSMUSG00000000134",473.569490280556,0.0705482869689328,0.108288160658252,0.495412042336698,0.640307665988196
"ENSMUSG00000000142",65.5116199631735,0.641435963733553,0.262068379880604,0.00246672854854508,0.00878220772693233
"ENSMUSG00000000148",252.401001916982,-0.0108136114154416,0.150279848693736,0.937477898867667,0.964040015023992
"ENSMUSG00000000149",1443.6191971938,-0.783437189846458,0.0721543838023342,1.46355881064267e-28,9.73535825581009e-27
"ENSMUSG00000000154",3214.86017464325,-1.55191758348769,0.113684934191384,2.55363179265904e-43,4.09590183259642e-41
"ENSMUSG00000000157",2.78452989723124,-0.0958049622696904,0.56977733895102,0.70720794167929,0.81195401623858
"ENSMUSG00000000159",1115.02876309792,0.168045914016195,0.125173451382,0.153328984179607,0.272257848973145
"ENSMUSG00000000167",40.2230845224815,0.0317389893721343,0.258208849243918,0.875966599975494,0.926748398099995
"ENSMUSG00000000168",2978.30992295334,-0.203221093506667,0.115525737582933,0.0635399106052161,0.136296945861426
"ENSMUSG00000000171",4621.82824085516,-0.362352204357799,0.0796675246183438,2.91529414609057e-06,1.99457465674562e-05
"ENSMUSG00000000184",334.726694781134,0.388873112986931,0.24634866954313,0.0506678184075018,0.113470582176197
"ENSMUSG00000000194",1131.06724315477,0.0287522296733815,0.106637362256422,0.778169688364767,0.862777823880889
"ENSMUSG00000000197",3.19595057054456,0.0595198202119433,0.505955779120868,0.819047052926053,0.890846923091232
"ENSMUSG00000000202",2.14321490609302,0.0064857525040828,0.63558574560188,0.977310817801907,0.987420229936522
